Социально-экономические показатели по субъектам Российской Федерации;;;;;
13. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ МАЛЫХ ПРЕДПРИЯТИЙ;;;;;
12.3.4. Оборот1) малых предприятий;;;;;
(миллиардов  рублей);;;;;
;2010;2015;2016;2017;
Курганская область;54,9;86,5;79,7;83,4;
Свердловская область;698,5;1751,0;1200,2;1408,1;
Тюменская область;491,8;826,7;888,9;972,1;
в том числе:;;;;;
Ханты-Мансийский    автономный округ – Югра;216,9;352,0;370,7;422,9;
Ямало-Ненецкий автономный округ;54,8;74,6;87,2;98,3;
Тюменская область    без автономных округов;220,1;400,1;431,0;450,9;
Челябинская область;462,1;1006,3;835,5;1151,3;
Сибирский федеральный округ;2104,2;4521,9;3631,5;4278,3;
Республика Алтай;12,8;39,6;20,1;28,4;
Республика Бурятия;53,7;90,9;79,3;87,0;
Республика Тыва;9,8;8,6;9,0;8,5;
Республика Хакасия;33,3;58,3;44,3;53,5;
Алтайский край;255,2;515,9;410,2;458,2;
Забайкальский край;45,2;95,7;85,2;83,5;
Красноярский край;300,1;714,4;666,0;710,4;
Иркутская область;281,0;571,7;528,0;611,6;
Кемеровская область;245,0;407,7;324,6;387,9;
Новосибирская область;542,5;1321,9;894,7;1258,6;
Омская область;196,5;411,2;395,4;350,1;
Томская область;129,2;286,0;174,6;240,7;
Дальневосточный федеральный округ;820,2;1851,6;1808,6;2008,7;
Республика Саха (Якутия);79,7;155,5;169,2;158,3;
Камчатский край;55,6;89,0;83,0;95,7;
Приморский край;304,9;792,7;796,3;872,1;
Хабаровский край;186,9;430,1;400,8;506,4;
Амурская область;70,0;145,3;134,7;147,0;
Магаданская область;31,4;49,2;53,3;53,2;
Сахалинская область;77,5;165,4;150,6;150,1;
Еврейская автономная область;11,1;16,3;14,9;17,0;
Чукотский автономный округ;3,0;8,1;5,7;8,7;
?????;;;;;
"1) За 2010, 2015 гг. - выручка от реализации товаров (работ, услуг) по данным сплошных федеральных статистических наблюдений за деятельностью субъектов  малого и среднего предпринимательства, за 2016-2017 гг. - оборот по данным выборочных обследований малых предприятий и микропредприятий.
Данные за 2016 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 29.12.2015 № 408-ФЗ, от 23.06.2016 № 222-ФЗ, от 03.07.2016 № 265-ФЗ и постановления Правительства РФ от 4 апреля 2016 г.  №265; за 2017 г. - без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 23 июня 2016 г. №222-ФЗ,  от 3 июля 2016 г. №265-ФЗ, от 26 июля 2017 г. №207-ФЗ.";;;;;
