Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;
ЛЕСНЫЕ РЕСУРСЫ;;;;;;;;;
14.37.3. Лесистость территорий1);;;;;;;;;
"(по данным учета на конец года; в процентах)";;;;;;;;;
;2015;2016;2017;;;;;;
Южный        федеральный округ;6,3;6,5;6,5;;;;;;
Республика Адыгея;36,8;36,7;36,7;;;;;;
Республика Калмыкия;0,2;0,2;0,2;;;;;;
Республика Крым;10,7;10,5;10,7;;;;;;
Краснодарский край;20,2;20,2;20,2;;;;;;
Астраханская область;1,9;1,8;1,8;;;;;;
Волгоградская область;4,3;4,3;4,2;;;;;;
Ростовская область;2,4;2,4;2,4;;;;;;
г. Севастополь;32,3;32,4;33,8;;;;;;
Северо-Кавказский федеральный округ;10,0;9,9;9,9;;;;;;
Республика Дагестан;7,2;7,2;7,2;;;;;;
Республика Ингушетия ;21,9;21,9;21,9;;;;;;
Кабардино-Балкарская Республика;15,4;15,4;15,4;;;;;;
Карачаево-Черкесская Республика;30,0;30,1;30,1;;;;;;
Республика Северная Осетия – Алания;24,3;24,3;24,3;;;;;;
Чеченская Республика ;21,5;20,9;20,9;;;;;;
Ставропольский край;1,6;1,6;1,6;;;;;;
Приволжский федеральный округ;36,4;36,4;36,5;;;;;;
Республика Башкортостан;39,9;39,9;39,9;;;;;;
Республика Марий Эл;54,4;55,3;55,7;;;;;;
Республика Мордовия;27,0;26,8;27,1;;;;;;
Республика Татарстан;17,5;17,5;17,5;;;;;;
Удмуртская Республика;46,3;46,2;46,2;;;;;;
Чувашская Республика;32,1;32,1;32,2;;;;;;
Пермский край;71,4;71,3;71,4;;;;;;
Кировская область;62,9;62,8;62,7;;;;;;
Нижегородская область;46,5;47,2;47,8;;;;;;
Оренбургская область;4,6;4,6;4,6;;;;;;
Пензенская область;20,5;20,5;20,5;;;;;;
Самарская область;12,7;12,7;12,8;;;;;;
Саратовская область;6,3;6,3;6,3;;;;;;
Ульяновская область;26,4;26,3;26,5;;;;;;
Уральский         федеральный округ;38,2;38,2;38,2;;;;;;
Курганская область;22,1;22,2;22,3;;;;;;
Свердловская область;68,6;68,7;68,7;;;;;;
Тюменская область;35,52);35,52);35,42);;;;;;
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;53,9;53,8;53,9;;;;;;
Ямало-Ненецкий автономный округ;20,9;20,9;20,8;;;;;;
Тюменская область без автономных округов;44,2;44,0;44,0;;;;;;
Челябинская область;29,4;29,4;29,5;;;;;;
Сибирский федеральный округ;53,8;53,8;53,8;;;;;;
Республика Алтай;44,3;44,4;44,4;;;;;;
Республика Бурятия;63,7;64,0;64,1;;;;;;
Республика Тыва;49,7;49,7;49,7;;;;;;
Республика Хакасия;49,8;49,8;49,8;;;;;;
Алтайский край;22,7;22,7;22,8;;;;;;
Забайкальский край;68,2;68,2;68,3;;;;;;
Красноярский край;45,2;45,1;45,1;;;;;;
Иркутская область;82,8;82,7;82,6;;;;;;
Кемеровская область;59,8;59,8;59,8;;;;;;
Новосибирская область;27,1;27,3;27,3;;;;;;
Омская область;32,2;32,3;32,2;;;;;;
Томская область;61,6;61,4;61,4;;;;;;
Дальневосточный федеральный округ;47,9;47,9;47,8;;;;;;
Республика Саха (Якутия);51,0;51,0;50,8;;;;;;
Камчатский край;42,7;42,7;42,7;;;;;;
Приморский край;77,3;77,2;77,2;;;;;;
Хабаровский край;66,2;66,2;66,3;;;;;;
Амурская область;65,4;65,4;65,4;;;;;;
Магаданская область;37,4;37,4;37,4;;;;;;
Сахалинская область;68,1;68,0;68,0;;;;;;
Еврейская автономная область;45,3;45,2;45,2;;;;;;
Чукотский автономный округ;6,8;6,8;6,8;;;;;;
?????;;;;;;;;;
1)  По данным Рослесхоза.;;;;;;;;;
2)  Показатель рассчитан по методологии Рослесхоза.;;;;;;;;;
