Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;
Растениеводство;;;;;;;;;
14.8. ПОСЕВНЫЕ ПЛОЩАДИ ЛЬНА-ДОЛГУНЦА;;;;;;;;;
"(в хозяйствах всех категорий; тысяча гектаров)";;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017
Республика Карелия;-;-;-;-;-;-;-;-;-
Республика Коми;-;-;-;-;-;-;-;-;-
Архангельская область;-;-;-;-;-;-;-;-;-
в том числе: ;-;-;-;-;-;-;-;-;-
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-
Архангельская область без автономного округа;-;-;-;-;-;-;-;-;-
Вологодская область;10,1;9,1;9,2;6,2;4,9;5,6;5,8;5,8;5,3
Калининградская область;-;-;-;0,2;…1);...1);…1); …1); …1)
Ленинградская область;-;-;-;-;-;-;-;-;-
Мурманская область;-;-;-;-;-;-;-;-;-
Новгородская область;0,6;0,9;1,0;1,2;1,2;0,8;1,4;1,4;1,4
Псковская область;1,7;0,0;0,0;0,1;…1); ...1); …1); …1); …1)
г. Санкт-Петербург;-;-;-;-;-;-;-;-;-
Южный          федеральный округ;-;-;0,2;0,9;0,7;-;-;-;-
Республика Адыгея;-;-;-;-;-;-;-;-;-
Республика Калмыкия;-;-;-;-;-;-;-;-;-
Республика Крым;-;-;-;-;-;-;-;-;-
Краснодарский край;-;-;-;-;-;-;-;-;-
Астраханская область;-;-;-;-;-;-;-;-;-
Волгоградская область;-;-;0,2;0,9;0,7;-;-;-;-
Ростовская область;-;-;-;-;-;-;-;-;-
г. Севастополь;-;-;-;-;-;-;-;-;-
Северо-Кавказский    федеральный округ;0,2;0,3;0,2;0,2;-;0,2;0,0;0,8;-
Республика Дагестан;-;-;-;-;-;0,1;-;-;-
Республика Ингушетия ;-;-;-;-;-;-;-;-;-
Кабардино-Балкарская Республика;-;0,3;0,2;0,2;-;0,1;0,0;0,8;-
Карачаево-Черкесская Республика;-;-;-;-;-;-;-;-;-
Республика Северная Осетия – Алания;0,2;-;-;-;-;-;-;-;-
Чеченская Республика ;-;-;-;-;-;-;-;-;-
Ставропольский край;-;-;-;-;-;-;-;-;-
Приволжский      федеральный округ;21,5;11,4;11,7;11,9;12,1;11,3;9,4;8,4;8,1
Республика Башкортостан;-;-;-;-;-;-;-;-;-
Республика Марий Эл;2,1;0,5;0,2; …1);…1);0,5;…1);0,0;-
Республика Мордовия;-;-;-;-;-;-;-;-;-
Республика Татарстан;0,9;0,2;0,9;0,9;0,5;1,0;1,1;1,1;1,1
Удмуртская Республика;14,2;6,2;6,2;6,2;6,0;6,0;6,0;4,9;4,6
Чувашская Республика;-;-;0,0;-;0,0;-;-;-;-
Пермский край;0,1;-;-;-;-;-;-;-;-
Кировская область;1,9;0,5;0,4;0,4;0,4;0,2;...1);0,2;…1)
Нижегородская область ;2,1;2,5;2,7;3,1;4,2;2,6;1,8;2,2;2,3
Оренбургская область;-;-;-;-;-;-;-;-;-
Пензенская область;-;1,5;1,4;...1);...1);0,9; ...1);-;-
Самарская область;-;-;-;-;-;-;-;-;-
Саратовская область;-;-;-;-;-;-;-;-;-
Ульяновская область;-;-;-;-;-;-;-;-;-
Уральский      федеральный округ;0,4;0,9;1,2;0,8;0,6;1,5;4,4;3,2;7,9
Курганская область;0,2;0,9;1,1;0,8;0,6;1,5;4,4;3,2;7,9
Свердловская область;-;-;0,1;-;-;-;-;-;-
Тюменская область;0,3;-;-;-;-;-;-;-;-
в том числе:;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;-;-;-;-;-;-;-;-
Ямало-Ненецкий автономный округ;-;-;-;-;-;-;-;-;-
Тюменская область без автономных округов;0,3;-;-;-;-;-;-;-;-
Челябинская область;-;-;-;-;-;-;-;-;-
Сибирский      федеральный округ;17,8;14,2;14,5;17,5;18;15,7;14,6;11,9;10,5
Республика Алтай;-;-;-;-;-;-;-;-;-
Республика Бурятия;-;-;-;-;-;-;-;-;-
Республика Тыва;-;-;-;-;-;-;-;-;-
Республика Хакасия;-;-;-;-;-;-;-;-;-
Алтайский край;7,5;4,7;4,6;4,5;3,5;3,6;3,8;3,9;3,6
Забайкальский край;-;-;-;-;-;-;-;-;-
Красноярский край;-;-;-;-;-;-;-;-;-
Иркутская область;-;-;-;-;-;-;-;-;-
Кемеровская область;-;-;-;-;0,0;0,2;0,1;0,1;-
Новосибирская область ;8,4;5,0;5,8;7,4;8,0;5,0;3,1;0,3;-
Омская область;0,5;3,1;2,6;4,1;4,9;5,5;6,3;6,2;5,8
Томская область;1,5;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,0
Дальневосточный федеральный округ;-;-;-;-;-;-;-;-;-
Республика Саха (Якутия);-;-;-;-;-;-;-;-;-
Камчатский край;-;-;-;-;-;-;-;-;-
Приморский край;-;-;-;-;-;-;-;-;-
Хабаровский край ;-;-;-;-;-;-;-;-;-
Амурская область;-;-;-;-;-;-;-;-;-
Магаданская область ;-;-;-;-;-;-;-;-;-
Сахалинская область;-;-;-;-;-;-;-;-;-
Еврейская автономная область;-;-;-;-;-;-;-;-;-
Чукотский автономный округ;-;-;-;-;-;-;-;-;-
?????;;;;;;;;;
1) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций, в соответствии с Федеральным законом от 29.11.2007 г. № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п.5 ст.4, ч.1 ст.9).;;;;;;;;;
