СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Численность обучающихся в частных общеобразовательных организациях2), тыс. человек;;20,6;32,6;39,5;45,8;46,9;50,5;50,2;53,4;60,6;65,9;68,0;68,7;70,2;72,3;71,3;71,3;73,2;71,2;73,5;83,5;91,9;94,9;99,9;104,5;...;...;...
Численность обучающихся в государственных и муниципальных вечерних (сменных) общеобразовательных организациях2), тыс. человек;509;486,9;484,6;468,5;472,2;474,0;478,9;491,1;489,6;479,6;480,1;478,4;474,8;462,5;445,8;425,5;408,2;388,9;360,5;324,7;292,0;267,2;234,3;207,1;174,0;...;...;...
Численность учителей в организациях, осуществляющих образовательную деятельность по образовательным програмам начального, основного и среднего общего образования3), тыс. человек;1556,2;1615,1;1683,2;1726,3;1750,1;1811,5;1814,1;1811,4;1803,4;1769,0;1737,9;1720,9;1686,1;1635,5;1596,6;1537,8;1487,2;1427,9;1115,1;1079,0;1060,4;1054,8;1056,2;1076,2;1077,2;1074,1;1079,9;1082,8
"Численность учителей в государственных и муниципальных общеобразовательных организациях (без вечерних (сменных) общеобразовательных организаций)2);3), тыс. человек ";1497;1561;1624;1666;1687;1746;1748;1744;1733;1696;1662;1641;1605;1555;1517;1461;1412;1356;1086;1053;1035;1029;1032;1052;1055;...;...;...
"Численность учителей в частных общеобразовательных организациях2);3), тыс. человек";;4,1;9,2;11,6;13,8;14,6;15,6;16,0;16,9;18,2;19,2;20,1;20,6;21,1;21,4;21,1;20,7;20,5;12,0;11,9;13,7;14,1;14,5;15,2;15,5;...;...;...
"Численность учителей в государственных и муниципальных вечерних (сменных) общеобразовательных организациях2);3), тыс. человек";58,9;50,0;50,0;48,7;49,3;50,9;50,5;51,4;53,5;54,8;56,7;59,8;60,5;59,4;58,2;55,7;54,5;51,4;16,6;14,2;12,1;11,3;10,0;8,7;7,2;...;...;...
Число государственных и муниципальных общеобразовательных организаций для обучающихся и воспитанников с ограниченными возможностями здоровья2);1861;1866;1875;1879;1906;1920;1936;1961;1985;2001;2011;2037;2032;2035;2015;1983;1960;1943;2042;2035;1999;1959;1909;1900;1806;...;...;...
Численность обучающихся в государственных и муниципальных общеобразовательных организациях для обучающихся и воспитанников с ограниченными возможностями здоровья2), тыс. человек;376;400;403;426;446;473;487;499;505;514;504;486;467;450;430;407;382;364;361;348;341;341;340;343;346;...;...;...
Численность обучающихся, получивших аттестат об основном  общем образовании, тыс. человек;1894;1907;1878;1881;1918;1987;2073;2219;2221;2200;2265;2422;2282;2135;1944;1668;1478;1343;1234;1354;1322;1250;1220;1223;1198;1234;1283;1365
Численность обучающихся, получивших аттестат о среднем общем образовании, тыс. человек;1081;1050;986;995;1045;1105;1159;1254;1346;1458;1473;1477;1519;1546;1466;1365;1246;1088;887;783;703;765;735;701;648;635;621;648
Численность обучающихся государственных и муниципальных общеобразовательных организаций (без вечерних (сменных) общеобразовательных организаций), получивших аттестат о среднем общем образовании2), тыс. человек;959;941;889;892;932;987;1037;1122;1207;1317;1326;1333;1371;1394;1312;1214;1105;959;810;720;640;709;684;653;608;...;...;...
Численность обучающихся частных общеобразовательных организаций, получивших аттестат о среднем общем образовании2), тыс. человек;;;1;1;2;2;3;3;4;5;6;6;7;7;8;7;6;6;5;4;5;6;6;6;6;...;...;...
Численность обучающихся государственных и муниципальных вечерних (сменных) общеобразовательных организаций, получивших аттестат о среднем общем образовании2), тыс. человек;122;109;96;102;111;116;119;129;135;136;141;138;141;145;146;144;135;123;71;59;58;50;45;42;34;...;...;...
1) С 2011 г. - по данным  Минпросвещения России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) С 2016 г. данные не разрабатываются.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) С 2009 г. - без руководящих работников и внешних совместителей.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Среднее профессиональное образование по программам подготовки квалифицированных рабочих, служащих1);2)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число профессиональных образовательных организаций, осуществляющих подготовку квалифицированных рабочих, служащих3) ;4321;4269;4273;4203;4166;4114;4050;3954;3911;3893;3872;3843;3798;3686;3392;3209;3180;2855;2658;2356;2040;1719;1271;1201;747;...;…;…
Численность студентов обучающихся по программам подготовки квалифицированных рабочих, служащих, тыс.человек;1841,5;1773,2;1741,6;1699,1;1689,5;1670,4;1667,4;1675,8;1694,1;1679,3;1648,7;1651,1;1649,4;1603,8;1509,4;1412,7;1256,1;1115,2;1035,2;1006,6;921,0;838,0;774,2;727,3;686,1;547,6;543,2;542,1
Принято студентов  на обучение по программам подготовки квалифицированных рабочих, служащих, тыс.человек;1234,5;1095,5;1007,1;949;928,1;898,6;884,5;892,6;886,3;844,9;836,9;842,4;823,1;782,5;687,8;630,3;586,1;540,7;542,5;609,4;532,5;483,5;451,3;415,6;395,6;208,0;205,5;207,1
Выпущено квалифицированных рабочих, служащих, тыс.человек;1140,8;1039,2;921,5;877,9;840,6;821,3;799,6;784,8;769,6;762,8;758,6;745,3;721,5;708;702,5;679,7;656,0;604,7;537,6;580,5;516,7;483,5;436,0;403,0;368,2;184,3;181,1;168,6
1) С 2012 г. - по данным Минпросвещения России. C 2016 г.  - без профессиональных образровательных организаций ФСИН и специальных профессиональных образовательных организаций.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2) С 2005 г. - включая образовательные организации высшего и среднего профессионального образования, реализующие программы начального профессионального образования; с 2010 г. - включая обучающихся на договорной основе.";;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) С 1 июля 2016 г. образовательные учреждения начального профессионального образования переименованы в профессиональные образовательные организации.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Среднее профессиональное образование по программам подготовки специалистов среднего звена1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число образовательных организаций, осуществляющих образовательную деятельность по программам подготовки специалистов среднего звена2) ;2605;2609;2607;2574;2634;2649;2653;2631;2649;2703;2684;2816;2809;2805;2905;2847;2799;2784;2866;2850;2925;2981;2709;2909;2891;3660;3682;3659
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
государственных и муниципальных;2605;2609;2607;2574;2612;2608;2593;2584;2576;2589;2595;2626;2627;2637;2688;2631;2566;2535;2564;2586;2665;2725;2494;2665;2645;3290;3287;3250
частных;;;;;22;41;60;47;73;114;89;190;182;168;217;216;233;249;302;264;260;256;215;244;246;370;395;409
Численность студентов обучающихся по программам подготовки специалистов  среднего звена, тыс. человек;2201,9;2089,9;1993,8;1870,9;1929,9;1986,3;2029,9;2068,2;2175,6;2360,8;2470,2;2585,5;2612,1;2599,6;2590,7;2514,0;2408,2;2244,1;2142,1;2125,7;2081,7;2087,1;1984,3;2103,1;2180,2;2304,3;2387,6;2464,3
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
государственных и муниципальных;2201,9;2089,9;1993,8;1870,9;1923,3;1975,8;2011,1;2051,6;2147,3;2308,6;2409,9;2488,5;2501,6;2503,6;2473,0;2388,9;2288,5;2136,1;2052,3;2026,8;1984,0;1984,4;1858,4;1963,3;2031,3;2136,6;2210,0;2264,6
частных;;;;;6,6;10,5;18,8;16,6;28,3;52,2;60,4;97,0;110,5;96,0;117,7;125,2;119,7;108,0;89,8;98,9;97,7;102,7;126,0;139,8;148,9;167,7;177,6;199,7
Принято студентов на обучение по программам подготовки специалистов среднего звена, тыс. человек ;732,3;651,7;643,8;629,6;668,8;667,8;694,4;714,2;781,5;867,2;877,7;901,1;905,5;890,2;854,1;798,8;770,7;703,0;694,4;705,3;659,6;656,2;637,7;672,8;699,3;726,5;743,9;783,0
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
государственных и муниципальных;732,3;651,7;643,8;629,6;664,6;662,0;684,6;706,5;766,5;842,4;850,8;860,7;861,9;852,5;810,9;756,2;730,3;670,1;666,6;671,8;628,8;620,8;591,3;618,4;639,8;664,1;675,3;703,1
частных;;;;;4,3;5,8;9,8;7,7;15,0;24,8;26,9;40,4;43,6;37,7;43,2;42,6;40,4;33,0;27,7;33,5;30,8;35,4;46,4;54,4;59,5;62,4;68,6;79,9
Выпущено специалистов среднего звена, тыс. человек ;623,2;585,3;546,1;531,7;474,0;496,4;542,2;549,0;569,7;579,3;608,6;669,7;701,3;702,7;684,4;699,5;698,5;671,1;630,9;572,1;518,0;486,3;439,0;451,0;445,9;468,9;506,8;531,5
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
государственных и муниципальных;623,2;585,3;546,1;531,7;473,0;494,0;537,9;544,8;563,2;567,7;593,2;646,4;670,7;674,7;651,4;657,9;657,0;631,7;593,9;535,7;484,2;454,9;404,0;418,0;410,9;429,5;462,5;484,7
частных;;;;1,0;1,0;2,4;4,3;4,2;6,5;11,6;15,4;23,3;30,6;28,0;33,0;41,6;41,5;39,5;37,0;36,5;33,8;31,4;35,0;33,0;35,0;39,4;44,4;46,9
1) С 2013 г. - по данным Минпросвещения России. C 2016 г.  - без профессиональных образровательных организаций ФСИН и специальных профессиональных образовательных организаций.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) До 2016 г. - число профессиональных образовательных организаций. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Высшее образование1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число образовательных организаций, высшего образования и научных организаций, осуществляющих образовательную деятельность по программам бакалавриата, специалитета, магистратуры2);519;535;626;710;762;817;880;914;939;965;1008;1039;1044;1071;1068;1090;1108;1134;1114;1115;1080;1046;969;950;896;818;766;741
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
государственных и муниципальных;519;535;548;553;569;573;578;580;590;607;621;655;652;662;655;660;658;660;662;653;634;609;578;548;530;502;500;496
частных;;;78;157;193;244;302;334;349;358;387;384;392;409;413;430;450;474;452;462;446;437;391;402;366;316;266;245
Численность студентов обучающихся по программам бакалавриата, специалитета, магистратуры, тыс. человек;2762,8;2638,0;2612,8;2644,6;2790,7;2964,9;3248,3;3597,9;4073,0;4741,4;5426,9;5947,5;6455,7;6884,2;7064,6;7309,8;7461,3;7513,1;7418,8;7049,8;6490,0;6075,4;5646,7;5209,0;4766,5;4399,5;4245,9;4161,7
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в государственных и муниципальных;2762,8;2638,0;2542,9;2534,0;2655,2;2802,4;3046,5;3347,2;3728,1;4270,8;4797,4;5228,7;5596,2;5860,1;5985,3;6133,1;6208,4;6214,8;6135,6;5848,7;5453,9;5145,3;4762,0;4405,5;4061,4;3873,8;3823,1;3782,5
в частных;;;69,9;110,6;135,5;162,5;201,8;250,7;344,9;470,6;629,5;718,8;859,5;1024,1;1079,3;1176,8;1252,9;1298,3;1283,3;1201,1;1036,1;930,1;884,7;803,5;705,1;525,7;422,8;379,1
Принято студентов на обучение по программам высшего образования, тыс. человек ;565,9;520,7;590,7;626,5;681,0;729,2;814,6;912,9;1059,0;1292,5;1461,6;1503,9;1643,4;1659,1;1640,5;1657,6;1681,6;1641,7;1544,2;1399,5;1207,4;1298,2;1246,5;1191,7;1221,8;1157,8;1142,0;1147,9
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
в государственные и муниципальные;565,9;520,7;543,5;567,7;628,6;674,3;748,3;831,8;946,4;1140,3;1263,4;1299,9;1411,7;1384,5;1372,5;1376,7;1384,0;1362,7;1329,6;1195,4;1057,7;1111,6;1066,8;1020,8;1049,6;1038,2;1034,3;1041,6
в частные;;;47,2;58,8;52,4;54,9;66,3;81,1;112,6;152,2;198,2;204,0;231,7;274,6;268,0;280,9;297,6;279,0;214,6;204,0;149,7;186,6;179,7;170,9;172,2;119,6;107,7;106,4
Выпущено бакалавров, специалистов, магистров, тыс. человек ;406,8;425,3;445,0;409,9;403,2;428,2;457,7;500,8;554,8;635,1;720,2;840,4;976,9;1076,6;1151,7;1255,0;1335,5;1358,5;1442,3;1467,9;1442,9;1397,3;1291,0;1226,2;1300,5;1161,1;969,5;933,2
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
из государственных и муниципальных;406,8;425,3;443,6;406,5;395,5;415,1;436,2;470,6;514,6;578,9;647,8;753,1;860,2;930,4;978,4;1055,9;1108,9;1125,3;1166,9;1177,8;1157,3;1125,4;1060,0;1017,7;1110,0;972,4;823,3;811,7
из частных;;;1,4;3,4;7,7;13,1;21,5;30,2;40,2;56,2;72,4;87,3;116,7;146,2;173,3;199,1;226,6;233,2;275,5;290,1;285,6;271,9;231,0;208,4;190,5;188,7;146,2;121,4
1) С 2013 г. - по данным Минобрнауки России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) До 2016 г. - число образовательных организаций высшего образования.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Подготовка научных кадров;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число организаций, ведущих подготовку аспирантов;1276;1296;1338;1332;1334;1323;1332;1338;1357;1362;1393;1416;1441;1452;1473;1493;1490;1529;1547;1568;1570;1575;1557;1519;1446;1359;1284;1223
Численность аспирантов, человек;59314;51915;50296;53541;62317;74944;88243;98355;107031;117714;128420;136242;140741;142662;142899;146111;147719;147674;154470;157437;156279;146754;132002;119868;109936;98352;93523;90823
Прием в аспирантуру, человек;;13865;16507;19416;24025;29012;32670;34351;37666;43100;45241;46935;47803;47687;46896;50462;51633;49638;55540;54558;50582;45556;38971;32981;31647;26421;26081;27008
Выпуск из аспирантуры, человек;16322;14857;13432;12292;11369;11931;14135;17972;21982;24828;25696;28101;30799;32595;33561;35530;35747;33670;34235;33763;33082;35162;34733;28273;25826;25992;18069;17729
Выпуск из аспирантуры с защитой диссертации, человек;3105;3135;3198;2712;2609;2881;3553;4691;5953;7503;6172;7411;8378;10256;10650;11893;10970;8831;10770;9611;9635;9195;8979;5189;4651;3730;2320;2198
Число организаций, ведущих подготовку докторантов;312;338;452;351;384;398;422;452;476;492;510;531;543;533;535;548;579;593;598;602;608;597;585;478;437;385;223;213
Численность докторантов, человек;1834;1644;1687;1850;2190;2554;3182;3684;3993;4213;4462;4546;4567;4466;4282;4189;4109;4242;4294;4418;4562;4554;4572;3204;2007;921;1059;1048
Прием в докторантуру, человек;618;540;701;740;904;1058;1330;1473;1466;1637;1630;1579;1611;1567;1457;1499;1520;1517;1569;1650;1696;1632;1582;166;419;397;439;393
Выпуск из докторантуры, человек;430;617;573;464;464;574;662;821;1033;1251;1257;1267;1385;1451;1417;1383;1320;1216;1302;1259;1321;1371;1356;1359;1386;1346;253;330
Выпуск из докторантуры с защитой диссертации, человек;154;247;194;168;137;200;226;312;356;486;397;411;414;505;516;450;429;297;435;336;382;394;323;231;181;151;65;82
