Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ;;;;;;;;;;;;;;;
МАЛОЕ ПРЕДПРИНИМАТЕЛЬСТВО;;;;;;;;;;;;;;;
12.3. ИТОГИ ВЫБОРОЧНЫХ ОБСЛЕДОВАНИЙ;;;;;;;;;;;;;;;
12.3.2. Число малых предприятий на 10 000 человек населения1);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;2011;2012;2013;2014;2016 2);2017 3);2018 4);;;;;;;;
Курганская область;68;82;85;84;99;97;93;;;;;;;;
Свердловская область;169;177;189;189;250;241;225;;;;;;;;
Тюменская область;173;184;180;193;183;162;157;;;;;;;;
в том числе:;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;146;162;145;166;155;135;128;;;;;;;;
Ямало-Ненецкий автономный округ;126;126;123;132;116;100;96;;;;;;;;
Тюменская область    без автономных округов;222;231;241;245;238;215;210;;;;;;;;
Челябинская область;100;101;111;120;203;200;189;;;;;;;;
Сибирский федеральный округ;133;152;159;165;175;174;168;;;;;;;;
Республика Алтай;104;119;107;106;153;137;127;;;;;;;;
Республика Тыва;50;49;50;42;49;34;33;;;;;;;;
Республика Хакасия;70;107;120;126;104;104;100;;;;;;;;
Алтайский край;131;149;149;134;162;147;144;;;;;;;;
Красноярский край;126;180;184;187;186;177;174;;;;;;;;
Иркутская область;98;103;120;118;159;160;160;;;;;;;;
Кемеровская область;106;122;123;124;126;116;111;;;;;;;;
Новосибирская область;231;222;230;278;293;296;279;;;;;;;;
Омская область;120;133;148;155;149;156;150;;;;;;;;
Томская область;145;192;194;178;156;205;199;;;;;;;;
Дальневосточный федеральный округ;117;130;136;134;169;157;153;;;;;;;;
Республика Бурятия;92;106;113;114;124;113;113;;;;;;;;
Республика Саха (Якутия);103;130;144;146;115;117;116;;;;;;;;
Забайкальский край;66;49;51;59;75;70;73;;;;;;;;
Камчатский край;155;160;161;163;212;182;181;;;;;;;;
Приморский край;153;157;161;164;238;222;218;;;;;;;;
Хабаровский край;134;170;171;154;224;208;196;;;;;;;;
Амурская область;81;104;110;99;131;128;122;;;;;;;;
Магаданская область;160;198;199;194;198;168;167;;;;;;;;
Сахалинская область;155;164;184;188;206;182;178;;;;;;;;
Еврейская автономная область;85;92;103;94;94;80;76;;;;;;;;
Чукотский автономный округ;57;105;92;75;73;74;75;;;;;;;;
?????;;;;;;;;;;;;;;;
"1) По данным выборочных обследований малых предприятий и микропредприятий. 
";;;;;;;;;;;;;;;
2) С 2016 года перечни субъектов малого предпринимательства для организации федеральных статистических наблюдений формируются, согласно статьи 5 Федерального закона от 24 июля 2007 г. № 209-ФЗ, на основе сведений, внесенных в Единый реестр субъектов малого и среднего предпринимательства (ЕРМСП). Данные за 2016 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 29 декабря 2015 г.  № 408-ФЗ, от 23 июня  2016 г. № 222-ФЗ, от 03 июля 2016 г. № 265-ФЗ и постановления Правительства Российской Федерации от 4 апреля 2016 г.  №265. Без учета изменения типа хозяйствующего субъекта в течение отчетного периода.;;;;;;;;;;;;;;;
3) Данные за 2017 г. сформированы без учета изменений критериев отнесения организаций к субъектам малого и среднего предпринимательства, установленных Федеральными законами от 23 июня 2016 г. №222-ФЗ,  от 3 июля 2016 г. №265-ФЗ, от 26 июля 2017 г. №207-ФЗ. Без учета изменения типа хозяйствующего субъекта в течение отчетного периода.;;;;;;;;;;;;;;;
4) Без учета изменения типа хозяйствующего субъекта в течение отчетного периода.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
