Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.6. ЧИСЛЕННОСТЬ ОБУЧАЮЩИХСЯ В ОРГАНИЗАЦИЯХ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ НАЧАЛЬНОГО, ОСНОВНОГО И СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ1);;;;;;;;;;;;;;;;;;;
"(на начало учебного года; тысяч человек)";;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017 ;2017/2018 ;2018/2019
Орловская область;114,7;110,9;105,3;98,7;91,7;85,5;80,7;75,8;73,4;71,7;71,6;70,7;69,9;69,8;71,0;72,0;73,2;75,4;76,1
Рязанская область;156,8;150,1;143,1;134,6;125,1;116,5;109,4;102,8;98,7;95,9;95,4;94,5;96,2;95,9;97,6;99,8;103,1;106,0;108,4
Смоленская область;144,1;136,3;128,3;118,7;107,9;98,8;92,0;86,4;84,4;81,9;80,8;81,0;80,2;80,3;81,7;84,1;88,6;90,8;92,4
Тамбовская область;158,4;152,1;144,3;134,5;123,9;114,0;106,4;101,3;97,4;96,2;94,5;94,5;92,8;91,4;92,0;92,7;92,3;93,8;94,4
Тверская область;194,5;184,6;174,6;162,7;150,5;139,2;129,6;123,3;119,7;117,9;117,6;118,7;119,7;120,5;123,2;126,2;131,8;134,4;136,1
Тульская область;200,3;191,2;181,1;169,3;156,2;145,3;136,4;129,3;124,9;121,5;120,8;120,6;122,7;122,8;124,5;127,5;132,7;135,7;137,8
Ярославская область;171,4;162,9;153,0;142,0;131,7;122,2;114,7;108,9;106,9;106,6;107,6;110,0;110,9;112,4;115,8;119,5;126,1;130,4;133,3
г. Москва  ;1009,0;979,0;943,1;901,0;854,3;814,3;780,0;761,0;753,7;762,8;782,4;793,8;829,6;836,6;859;896,7;929,7;969,2;1007,5
Северо-Западный     федеральный округ;1844,8;1749,2;1640,6;1640,6;1523,8;1308,6;1229,8;1174;1148,5;1142,4;1147,2;1167,2;1185,5;1201,4;1230,6;1267,1;1329,3;1376,3;1417,5
Республика Карелия;108,9;102,6;96,2;96,2;88,8;74,7;69,4;65,8;64,1;63,4;63,3;63,3;63,5;63,6;64,3;65,4;68,1;69,5;70,3
Республика Коми;169,5;159,8;149,6;149,6;139,2;119,2;111,3;105,2;101,0;98,2;97,1;96,8;96,4;96,1;96,9;98,2;100,7;101,7;102,2
Архангельская область;201,8;189,8;176,9;163,0;149,2;137,7;129,1;123,4;120,3;120,6;120,4;121,8;122,0;122,2;123,5;126,1;131,2;133,3;134,3
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;7,4;7,3;7,0;6,7;6,4;6,0;5,7;5,5;5,5;5,6;5,7;5,8;5,8;5,8;5,8;6;6,2;6,3;6,4
Архангельская область  без автономного округа;194,4;182,5;169,9;156,3;142,8;131,7;123,4;117,9;114,8;115,0;114,7;116,0;116,2;116,4;117,7;120,0;125,0;127,0;127,9
Вологодская область;182,3;172,9;162,0;150,3;138,3;128,0;120,1;114,4;112,5;112,6;113,9;115,9;117,2;118,7;120,8;124,0;129,1;132,0;134,7
Калининградская область;127,4;122,3;115,6;107,8;99,9;93,3;88,7;86,1;84,5;84,4;85,0;87,2;89,8;91,4;92,9;96,2;102,3;106,8;110,0
Ленинградская область;206,1;194,4;181,9;169,2;156,6;146,4;138,2;131,6;129,4;127,4;126,6;127,6;128,5;129,6;132,9;136,8;146,2;153,3;160,7
Мурманская область;137,6;128,7;119,3;109,2;99,5;90,9;84,3;79,4;76,4;75,3;74,9;74,1;73,8;74,1;75,2;76,6;79,0;80,6;81,4
Новгородская область;94,4;89,0;82,4;75,3;68,8;63,6;60,0;57,2;56,3;55,7;55,9;56,0;56,2;56,8;58,4;59,7;61,8;63,6;64,6
Псковская область;102,0;97,1;91,5;85,0;78,4;72,4;67,3;63,0;61,1;59,7;59,3;59,5;59,6;59,7;60,6;61,9;64,7;65,8;66,8
г. Санкт-Петербург;514,7;492,6;465,2;436,2;408,2;382,2;361,6;347,8;343,1;345,0;350,9;365,0;378,4;389,2;405,1;422,2;446,1;469,5;492,5
Южный           федеральный округ;1927,5;1841,1;1752,3;1640,8;1529,2;1436,4;1357,5;1309,2;1282;1276,3;1275,4;1283,5;1289,3;1303,9;1579,3;1618,3;1694;1752,3;1805,7
Республика Адыгея;63,4;61,1;58,0;54,0;50,7;48,0;45,6;44,1;43,3;43,2;43,7;43,9;44,0;44,4;45,2;46,2;48,2;50,4;52,7
Республика Калмыкия;57,5;55,1;52,7;48,9;44,9;41,7;38,9;36,2;33,8;32,6;31,8;31,9;31,7;31,2;31,4;31,6;32,6;33,4;34,0
Республика Крым;;;;;;;;;;;;;;;187,9;186;194,8;200,9;208,0
Краснодарский край;717,1;691,0;660,0;619,4;577,4;542,9;514,0;501,8;496,5;499,2;501,2;505,8;512,5;523,2;550,7;576;611,1;638,6;666,7
Астраханская область;150,1;144,7;139,1;130,0;120,5;112,3;106,2;101,1;97,9;97,0;97,8;99,0;100,4;102,0;104,8;108,4;113,3;117,1;119,3
Волгоградская область;357,0;343,1;326,1;304,4;281,9;264,8;249,1;236;228,1;225,1;225,2;227,3;226,7;228;232,7;238,2;246,1;251,5;254,7
Ростовская область;582,4;546,1;516,4;484,1;453,8;426,7;403,7;390,0;382,4;379,2;375,7;375,6;374,0;375,1;388,4;393,9;407,0;417,9;425,5
г. Севастополь;;;;;;;;;;;;;;;38,2;38,0;40,9;42,5;44,7
Северо-Кавказский   федеральный округ;1234,2;1411,9;1384,4;1364,4;1316,8;1274,4;1236,5;1200,8;1169,7;1150,5;1123,9;1120,9;1127,4;1132,5;1158,5;1181,8;1215,4;1254,1;1 297,3
Республика Дагестан;463,4;466,0;463,5;456,0;443,3;432,5;416,4;404,1;392,1;384,1;380,6;376,1;370,8;368,3;370,8;374,6;381,6;393,3;406,0
Республика Ингушетия ;62,0;64,6;59,6;72,0;64,6;64,9;73,3;74,4;75,5;75,5;54,9;55,1;59,5;61,2;63,6;65,5;64,1;68,8;73,5
Кабардино-Балкарская Республика;144,1;140,2;135,7;129,5;123,4;115,3;108,3;102,4;96,5;94,5;91,8;90,4;90,1;88,5;89,9;91,7;95,9;99,3;103,6
Карачаево-Черкесская Республика;72,3;70,3;67,2;63,8;60,0;55,7;52,5;50,7;48,0;46,6;46,5;46,0;46,5;47,1;48,3;49,8;51,5;50,7;52,2
Республика Северная Осетия - Алания;106,9;105,1;103,0;99,5;95,2;91,4;87,6;83,9;81,0;80,7;81,1;80,3;79,7;80;81,2;81,3;82,3;84,1;86,1
Чеченская Республика ;…;193,9;199,7;206,6;212,3;214,8;214,5;213,3;213,0;210,6;213,4;219,0;226,8;232,5;243,6;251,9;262,1;272,4;284,0
Ставропольский край;385,5;371,8;355,7;337,0;318,0;299,7;283,9;272,0;263,6;258,5;255,6;254,0;254,0;255,0;261,2;267,0;277,7;285,6;291,9
Приволжский федеральный округ;4588,3;4387,5;4143,0;3859,3;3575,1;3345,9;3145,8;2990,3;2902,8;2858,3;2836,3;2840,2;2833,2;2832,9;2867,9;2928,9;3037,9;3122,5;3193,2
Республика Башкортостан;673,0;647,6;613,9;575,5;538,3;513,4;488,7;464,9;451,1;444,1;438,7;434,5;430,7;429,1;432,7;441,8;456,6;468,3;478,2
Республика Марий Эл;120,4;112,9;104,4;96,2;88,6;82,0;76,3;71,5;68,5;66,7;66,1;66,8;66,6;66,8;68,1;69,8;72,8;74,8;76,7
Республика Мордовия;128,6;122,0;114,3;105,9;97,3;89,2;82,0;76,4;72,5;70,5;69,0;69,0;67,9;67,4;67,9;68,8;70,6;71,6;72,4
Республика Татарстан;578,5;559,3;534,7;505,2;472,9;441,8;416,4;401,1;392,7;386,9;378,7;375,4;372,6;370,2;372,7;377,4;390,3;404,4;418,3
Удмуртская Республика;246,4;234,1;218,8;201,4;185,4;172,5;162,6;155,4;151,7;152,6;153,7;157,6;158,6;159,6;162,4;166,7;173,6;178,8;182,9
Чувашская Республика;213,1;202,9;191,1;178,9;166,2;154,8;144,0;134,8;128,6;126,1;125,1;126,0;124,1;123,0;123,8;125,5;130,1;134,5;137,9
Пермский край;412,5;392,5;370,0;343,7;317,7;298,0;281,2;270,6;266,5;267,5;270,8;274,7;275,3;276,8;280,9;288;300,9;308,0;314,7
Кировская область;216,2;201,8;186,7;169,9;154,8;142,7;134,0;126,3;123,0;121,4;120,6;120,4;120,9;121,6;123,3;126,4;132,3;135,4;137,8
Нижегородская область ;441,2;422,3;398,6;371,8;344,6;328,3;308,2;293,1;285,5;282,1;280,8;283,6;284,9;285,7;290,1;298,1;309,5;318,0;325,3
Оренбургская область;343,8;330,2;312,5;291,4;270,8;253,5;239,0;227,1;218,8;213,1;208,8;206,7;205,9;205,8;208,6;212,5;220,4;226,8;231,3
Пензенская область;204,0;194,4;183,5;168,7;154,3;142,4;131,8;127,3;117,7;114,5;112;112,1;111,7;111,4;113,4;115,7;118,9;122,4;125,1
Самарская область;435,2;417,2;395,0;366,6;340,9;318,9;301,4;287;282,3;279,2;280,6;284,0;284,7;287,2;292,6;301,1;314,2;324,1;331,4
Саратовская область;369,4;354,4;335,7;314,4;289,3;267,3;249,4;234,9;227,2;220,4;219,7;218,3;219,3;218,5;221,2;225,5;232,9;237,7;241,7
Ульяновская область;206,1;196,0;183,9;169,5;154,0;141,0;130,8;122,7;116,7;113,1;111,6;111,1;110,2;109,7;110,2;111,6;114,8;117,5;119,6
Уральский   федеральный округ;1799,4;1720,4;1624,4;1512,2;1417,4;1325,5;1252,2;1200,7;1176,2;1179,5;1186,9;1217,9;1236,7;1254,3;1286,4;1330,5;1397,3;1448,8;1 490,4
Курганская область;158,0;149,0;138,6;127,3;116,8;108,0;101,1;95,9;93,0;91,1;89,9;90,3;89,7;89,7;90,5;92,9;97,1;98,6;99,8
Свердловская область ;584,7;555,9;521,6;484,6;465,3;434,0;407,9;390,7;382,4;390,8;392,5;411,6;416,5;421,3;431,9;446,8;470,0;488,5;501,1
Тюменская область;548,2;530,4;507,0;477,0;444,4;418,5;399,0;384,5;377,4;376,9;380,5;387,2;394,8;403,9;417,2;431,6;454,6;473,8;492,0
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский  автономный округ - Югра;244,2;239,2;229,8;216,2;201,4;188,7;180,1;174,9;173,0;172,7;174,6;177,0;181,0;184,9;189,9;194,9;202,7;210,3;216,6
Ямало-Ненецкий  автономный округ;93,3;91,1;88,3;85,3;81,7;78,2;74,6;71,8;69,8;69,2;68,5;68,5;68,4;68,4;69,3;70;71,8;73,2;74,0
Тюменская область     без автономных округов;210,7;200,1;188,9;175,5;161,3;151,6;144,3;137,8;134,6;135,0;137,4;141,7;145,4;150,6;158;166,6;180,1;190,3;201,4
Челябинская область;508,6;485,0;457,2;423,3;390,9;364,8;344,1;329,7;323,3;320,8;324,0;328,0;335,6;339,5;346,7;359,2;375,7;387,9;397,5
Сибирский   федеральный округ;2682,6;2556,1;2417,1;2275,5;2114,2;1982,3;1870,8;1793,9;1746,6;1729,7;1732,5;1759,2;1768,4;1781,9;1822,2;1884,4;1975,7;2038,7;2 087,0
Республика Алтай;38,2;37,1;36,0;34,4;32,3;30,8;29,5;28,7;28,5;28,5;29,0;29,6;30,0;30,5;31,7;33,3;35,1;36,2;37,4
Республика Тыва;68,9;68,6;68,2;66,9;64,4;61,4;59,5;57,3;55,3;54,5;54,6;54,4;54,6;54,7;56,5;58,4;62,0;64,6;67,2
Республика Хакасия;89,4;85,0;80,3;75,0;69,2;65,0;61,5;59,9;58,1;55,9;55,5;56,5;56,9;57,4;59,1;61,3;64,0;67,0;68,9
Алтайский край;375,3;355,3;334,4;309,6;284,6;265,1;250,4;240,1;233,9;231,9;231,9;236,5;237,3;238,3;242,5;249,4;259,8;266,1;270,4
Красноярский край;432,5;414,6;392,2;384,6;356,6;334,5;314,0;298,7;288,6;286,8;287,8;294,7;294,0;294,0;298,0;307,2;321,3;331,1;339,1
Иркутская область;423,0;405,1;384,5;361,1;338,2;317,3;296,8;282,8;274,2;272,2;271,9;274,4;274,9;276,3;283,3;294,2;305,6;316,0;323,6
Кемеровская область;404,7;385,6;363,7;338,5;314,4;295,1;277,9;268,0;262,0;260,2;260,1;264,7;266,7;270,5;277,4;286,7;301,0;309,4;313,1
Новосибирская область ;374,5;355,8;336,0;314,0;292,8;275,0;261,0;250,4;245,4;245,1;248,8;253,2;258,4;263,5;271,4;283,2;301,7;314,3;325,2
Омская область;326,4;307,5;289,1;268,8;247,3;228,8;216,3;204,5;200,1;195,5;193,6;194,3;194,1;194,1;197,3;202,2;211,2;216,8;222,3
Томская область;149,7;141,5;132,7;122,6;114,4;109,3;103,9;103,5;100,5;99,1;99,3;100,9;101,5;102,6;105;108,5;114,0;117,2;119,8
Дальневосточный   федеральный округ;1419,2;1367,3;1294,0;1213,2;1135,1;1065,0;1002,0;958,9;932,9;919,9;920,2;923,3;924,8;929,1;940,3;960,7;999,5;1013,1;1 029,5
Республика Бурятия;177,6;168,8;159,0;148,8;139,0;129,2;121,6;117,2;114,4;114,2;115,1;117,1;119,7;123,6;126,0;130,7;135,4;138,8;142,1
Республика Саха (Якутия);186,6;184,0;179,2;174,1;168,4;160,3;152,8;148,1;143,5;140,2;138,6;137,6;136,1;134,8;135,3;136,9;140,6;143,7;146,2
Забайкальский край;201,7;195,0;185,2;173,0;162,2;153,8;147,3;141,9;139,4;137,9;137,6;137,2;136,2;136,6;138,1;139,1;142,4;144,9;146,0
Камчатский край;50,8;48,2;45,5;42,8;39,9;37,6;35,6;34,2;33,2;32,8;32,9;33,3;33,7;33,6;33,7;34,2;35,4;35,9;36,4
Приморский край;298,3;284,3;268,4;252,1;235,5;221,2;206,3;195,6;191,2;186,0;186,3;185,5;185,3;185,7;188,9;194,2;208,6;205,7;209,6
Хабаровский край ;213,4;203,2;191,0;176,1;161,7;149,6;138,5;131,8;126,8;125,8;126,3;127,8;128,2;129,1;130,3;133,5;139,4;143,3;146,2
Амурская область;137,4;139,4;130,3;121,4;113,6;106,6;100,3;95,8;92,6;93,0;92,7;92,9;93,0;92,5;93,6;95,1;97,2;98,6;99,8
Магаданская область;28,9;26,8;24,6;22,7;20,8;18,9;17,5;16,5;15,9;15,5;15,6;15,6;15,8;15,8;15,8;16,1;16,5;16,6;16,7
Сахалинская область;82,3;78,1;73,3;67,6;62,1;57,9;54,2;51,3;49,8;49,0;49,4;50,4;50,8;51,3;52,2;53,9;56,2;57,5;58,4
Еврейская автономная область;31,9;30,0;28,6;26,3;24,0;22,3;20,7;19,3;18,8;18,5;18,6;18,8;18,9;18,9;19,2;19,7;20,3;20,6;20,9
Чукотский автономный округ;10,3;9,5;8,9;8,3;7,9;7,6;7,2;7,2;7,3;7,0;7,1;7,1;7,1;7,2;7,2;7,3;7,5;7,5;7,4
??????;;;;;;;;;;;;;;;;;;;
1) До 2016/2017  учебного года приведена  численность обучающихся общеобразовательных организаций (без вечерних (сменных) общеобразовательных организаций). ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
