Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.2. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ В ОРГАНИЗАЦИЯХ;;;;;;;;;;;;;;;;
18.2.1. Организации, использовавшие сеть Интернет1);;;;;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций)  ;;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Тамбовская область;32,7;38,8;46,9;69,0;78,6;61,8;62,5;65,4;75,1;78,9;81,5;83,9;86,1;90,4;94,6;95,2
Тверская область;33,7;40,2;42,9;49,9;59,4;69,8;74,9;82,5;82,6;77,9;81,8;83,0;79,0;82,6;84,8;89,2
Тульская область;29,5;34,9;36,9;45,9;55,3;63,6;69,8;71,9;76,8;81,7;84,1;86,1;85,5;88,6;87,7;91,3
Ярославская область;41,5;48,5;52,4;61,0;70,0;75,2;82,2;85,8;87,0;89,7;90,5;91,5;91,9;94,8;93,4;94,2
г. Москва;79,1;82,4;87,0;90,6;93,6;97,1;98,1;98,5;98,5;98,4;98,7;99,1;99,4;99,1;98,9;98,8
Северо-Западный    федеральный округ;51,5;57,7;59,7;65,9;70,4;76,5;80,6;85,7;88,6;91,0;92,3;92,9;92,4;93,4;93,3;92,8
Республика Карелия;68,8;71,5;79,0;78,5;82,8;90,0;92,3;93,7;98,1;97,2;97,2;97,1;97,1;93,5;93,3;93,1
Республика Коми;42,1;50,1;59,2;64,9;62,3;64,0;65,5;71,3;76,1;84,7;91,3;88,1;89,6;90,9;88,1;88,3
Архангельская область;56,2;61,4;63,5;68,6;73,7;80,4;82,7;87,4;90,1;91,4;91,2;91,6;87,5;89,2;89,7;89,1
в том числе: ;;;;;;;;;;;;;;;;
Ненецкий автономный округ;63,4;63,8;59,3;68,8;77,1;79,4;79,0;82,2;89,4;90,9;92,2;90,7;93,3;94,9;93,4;92,6
Архангельская область без автономного округа;55,4;61,1;64,1;68,6;73,2;80,6;83,2;88,1;90,2;91,4;91,1;91,7;86,9;88,7;89,3;88,7
Вологодская область;31,3;39,1;40,2;45,7;52,4;60,0;66,2;76,5;80,4;84,5;87,9;90,7;92,3;92,8;94,0;93,7
Калининградская область;49,0;55,4;55,7;61,0;67,8;73,1;76,5;82,0;85,0;87,6;90,1;89,2;91,5;95,2;93,3;91,4
Ленинградская область;38,8;47,8;53,3;61,6;70,0;82,0;87,9;90,8;93,3;94,3;94,1;94,8;95,2;96,1;96,8;96,4
Мурманская область;54,7;62,9;63,7;70,3;75,8;77,1;78,8;84,7;87,6;88,6;92,5;92,7;91,3;89,1;89,1;89,5
Новгородская область;54,7;58,8;53,7;57,5;63,0;75,7;85,2;89,8;94,8;96,4;89,5;91,8;92,1;98,9;95,2;92,9
Псковская область;45,1;48,9;48,1;57,0;62,1;68,5;78,0;83,5;87,5;88,6;88,8;92,7;93,2;91,6;89,7;93,1
г. Санкт-Петербург;65,6;71,3;74,9;82,8;86,6;90,8;93,3;96,0;96,2;96,9;96,8;97,4;94,9;95,9;97,4;95,6
Южный          федеральный округ;46,9;50,9;55,4;68,3;71,8;77,2;77,6;80,2;83,0;84,1;86,2;85,9;82,9;85,5;86,7;91,6
Республика Адыгея;54,6;61,1;58,6;56,6;68,4;81,5;86,8;88,0;92,1;92,2;95,3;96,2;92,5;92,5;91,9;90,4
Республика Калмыкия;25,6;25,1;33,2;44,3;49,7;56,3;70,4;90,5;87,7;87,1;93,9;89,4;86,8;83,4;85,1;84,7
Республика Крым;;;;;;;;;;;;95,8;98,9;98,2;99,2;93,4
Краснодарский край;56,8;61,8;68,0;74,4;80,2;84,5;86,5;87,7;87,8;89,3;90,4;89,2;83,7;86,4;90,7;93,3
Астраханская область;41,2;40,9;40,8;50,6;64,3;71,8;77,1;76,8;86,1;85,2;85,2;86,0;85,3;91,6;91,6;93,6
Волгоградская область;35,9;42,1;46,9;60,2;62,9;69,0;70,1;73,8;77,9;77,0;82,4;79,2;74,2;81,5;79,3;87,1
Ростовская область;47,6;51,6;55,6;74,3;75,5;80,0;76,5;78,9;81,1;83,8;83,9;86,0;85,9;83,8;83,0;92,9
г. Севастополь;;;;;;;;;;;;85,5;83,7;61,5;68,5;92,3
Северо-Кавказский     федеральный округ;35,6;41,6;48,3;59,3;66,8;74,7;81,6;85,5;89,0;87,8;89,2;93,5;89,0;90,0;85,9;83,9
Республика Дагестан;45,0;57,5;50,2;56,2;64,6;76,9;93,2;94,7;94,5;97,3;97,8;98,8;87,4;86,4;68,4;65,7
Республика Ингушетия;18,2;17,0;27,7;36,0;45,8;54,0;57,8;71,8;87,1;95,2;96,6;89,9;100,0;100,0;100,0;100,0
Кабардино-Балкарская  Республика;39,5;43,8;48,6;54,9;62,0;69,7;87,0;91,6;92,0;94,9;95,3;78,9;82,9;88,2;84,4;82,8
Карачаево-Черкесская    Республика;26,4;29,4;34,6;41,5;48,8;56,6;61,9;65,4;76,2;80,6;79,8;86,2;82,0;84,0;90,3;89,1
Республика Северная        Осетия – Алания;27,3;33,1;43,2;51,9;59,1;67,5;79,5;80,3;81,2;84,5;85,1;83,4;83,9;85,3;80,4;88,3
Чеченская Республика;-;-;-;32,1;19,8;45,8;51,6;69,7;78,7;64,7;72,4;97,3;83,8;86,0;94,4;92,0
Ставропольский край;39,8;46,9;54,7;71,0;80,8;87,4;90,2;93,6;96,1;97,3;97,1;93,5;97,3;96,7;96,7;96,0
Приволжский      федеральный округ;38,2;44,3;50,3;58,6;66,3;75,5;81,4;86,0;87,8;89,1;88,7;88,6;87,2;88,0;88,7;91,2
Республика Башкортостан;37,6;44,0;54,7;66,9;75,0;86,0;90,0;94,7;92,5;96,4;94,4;95,8;96,2;91,3;93,4;93,0
Республика Марий Эл;43,3;47,7;50,8;54,9;59,8;64,3;69,3;76,8;82,5;86,5;90,3;91,8;90,4;85,4;86,5;88,5
Республика Мордовия;43,5;41,3;40,8;53,8;64,1;76,0;80,8;80,7;81,5;85,3;85,4;85,6;80,1;78,0;79,7;89,6
Республика Татарстан;35,2;40,4;52,2;59,5;65,5;78,6;92,9;95,4;95,9;95,7;95,7;95,1;94,0;95,5;98,1;97,7
Удмуртская Республика;46,9;51,3;57,5;58,7;69,0;77,7;83,1;84,0;88,5;89,1;91,7;95,1;93,9;87,2;88,0;93,7
Чувашская Республика;42,1;59,9;60,5;75,6;79,0;84,8;87,8;87,8;90,1;91,4;93,2;92,4;88,7;92,6;91,2;93,3
Пермский край;45,9;51,1;57,5;61,6;67,6;72,5;75,7;81,4;85,3;89,9;90,6;92,8;90,0;91,5;89,7;91,9
Кировская область;22,6;27,6;31,2;39,9;51,1;63,2;68,0;73,9;75,7;78,2;83,0;75,3;73,6;87,4;88,2;90,2
Нижегородская область;41,5;49,1;53,3;64,6;74,5;79,5;84,8;92,0;92,2;92,5;93,4;95,0;95,6;95,7;95,8;94,7
Оренбургская область;40,2;44,9;50,4;57,0;62,5;71,3;80,6;86,0;90,6;94,2;94,6;91,0;94,1;94,8;94,2;94,5
Пензенская область;36,7;45,0;48,3;56,9;62,3;71,6;75,7;78,5;79,8;85,1;87,4;92,5;90,3;90,5;92,6;91,8
Самарская область;48,3;51,8;56,3;63,0;68,9;78,2;83,5;88,7;89,1;81,7;73,1;74,2;70,6;77,8;76,8;83,7
Саратовская область;37,8;45,4;46,4;50,6;57,4;67,1;75,7;80,8;84,4;86,2;87,6;87,7;85,3;77,3;78,9;85,9
Ульяновская область;24,4;28,7;37,9;46,7;57,2;70,9;75,7;82,8;85,9;87,0;87,6;83,1;87,8;89,3;87,9;86,7
Уральский          федеральный округ;47,9;53,1;58,4;66,4;74,4;80,9;83,5;87,1;88,9;90,5;91,2;91,9;89,1;89,0;88,6;90,9
Курганская область;30,2;33,8;37,2;42,3;54,2;76,2;84,4;89,5;92,0;93,4;89,3;82,7;72,1;79,8;79,4;84,0
Свердловская область;45,2;45,5;55,2;67,0;76,7;80,4;84,5;86,8;90,0;93,0;94,5;95,0;92,5;92,2;92,1;93,3
Тюменская область;59,3;66,5;70,9;75,4;81,4;86,5;84,9;87,9;90,3;90,6;91,7;92,7;91,0;89,9;87,8;90,5
в том числе:;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;71,4;76,0;80,0;85,2;89,4;90,6;87,9;89,9;92,2;92,5;93,6;94,4;92,8;92,9;90,3;92,0
Ямало-Ненецкий     автономный округ;66,9;78,9;85,5;87,3;91,3;93,6;89,3;92,9;92,8;89,8;92,4;95,1;91,5;90,6;86,5;87,3
Тюменская область без   автономных округов;41,2;48,4;55,1;60,4;68,4;78,4;79,3;83,3;86,8;88,9;89,1;89,8;88,7;86,2;85,5;90,6
Челябинская область;44,0;54,0;54,8;62,7;69,7;75,3;79,4;85,1;84,1;85,8;86,8;91,3;90,9;88,3;90,0;91,5
Сибирский     федеральный округ;41,7;47,2;50,6;58,0;62,8;68,7;73,2;77,5;81,1;83,6;84,7;85,9;85,3;85,1;84,6;88,6
Республика Алтай;34,5;36,2;44,7;59,3;61,0;69,7;78,5;83,6;86,3;90,7;94,4;92,8;93,5;92,5;96,4;94,2
Республика Тыва;28,6;30,6;27,9;19,2;19,8;24,9;39,6;68,0;72,7;72,2;77,2;80,2;82,0;87,4;83,5;82,2
Республика Хакасия;59,1;65,4;60,7;67,0;76,4;87,2;91,6;91,6;91,8;91,7;93,2;95,1;94,1;87,7;85,8;87,6
Алтайский край;29,3;31,5;38,1;47,3;52,6;59,6;65,5;70,2;72,3;76,0;79,0;85,0;86,3;87,6;88,6;93,5
Красноярский край;29,0;34,1;41,4;53,1;56,7;66,4;70,8;72,3;78,9;83,2;86,7;88,3;90,4;89,7;90,0;91,7
Иркутская область;56,0;64,3;67,9;74,0;78,0;81,0;83,2;81,1;86,0;90,3;88,9;88,4;88,6;85,3;87,3;86,6
Кемеровская область;51,5;55,7;58,3;68,3;77,0;85,2;87,1;90,7;92,2;91,6;90,1;86,2;85,4;86,0;85,3;87,3
Новосибирская область;52,1;59,9;56,6;58,0;62,1;66,3;70,4;75,4;80,4;82,7;83,1;84,8;86,5;78,3;78,9;88,4
Омская область;37,6;43,3;46,0;53,6;58,5;62,3;65,5;72,1;74,8;79,0;80,4;84,2;74,6;83,6;80,7;86,9
Томская область;61,1;68,5;75,3;84,7;90,4;93,7;95,5;96,7;96,4;85,2;82,8;78,1;79,5;85,1;75,2;83,8
Дальневосточный    федеральный округ;46,1;51,7;52,9;60,0;65,8;71,2;77,1;79,0;81,0;84,6;86,0;88,7;88,0;88,3;87,0;89,4
Республика Бурятия;36,8;34,5;38,3;55,5;60,6;69,5;76,6;80,8;81,8;84,2;85,2;87,7;85,8;82,7;71,1;76,3
Республика Саха (Якутия);41,3;48,4;51,1;56,7;61,9;66,6;71,5;72,6;72,8;75,1;79,9;84,5;87,0;85,2;86,7;89,7
Забайкальский край;38,5;38,3;39,2;46,8;55,8;62,4;70,5;76,8;82,7;89,6;89,7;91,5;91,4;92,1;92,7;94,0
Камчатский край;44,5;56,9;50,9;55,2;68,1;80,0;84,4;87,7;87,7;91,8;94,4;93,9;95,8;96,1;96,0;92,8
Приморский край;54,8;60,0;63,2;69,7;69,0;73,7;84,1;80,3;83,3;85,7;86,5;89,0;82,8;84,2;85,3;89,9
Хабаровский край;61,7;64,6;68,7;76,5;83,4;84,2;86,3;89,2;92,6;94,6;94,5;95,0;97,3;97,3;93,3;93,1
Амурская область;38,5;48,1;40,6;47,5;56,6;63,1;68,4;68,8;69,5;76,7;75,9;81,6;84,4;87,5;84,4;86,9
Магаданская область;47,6;53,8;60,3;65,3;68,5;72,0;74,7;85,9;85,2;88,8;89,8;90,5;89,9;90,1;90,2;92,5
Сахалинская область;45,7;55,6;62,6;68,1;73,5;78,8;83,8;85,1;88,2;90,5;91,0;92,0;92,1;90,1;94,1;92,5
Еврейская автономная    область;43,4;39,1;41,5;51,4;62,0;66,5;68,5;72,0;76,4;79,3;82,6;83,9;74,8;85,3;84,4;87,9
Чукотский автономный округ;53,3;87,5;88,7;91,6;97,9;93,3;92,7;80,6;82,4;87,4;89,4;92,2;94,7;94,8;93,4;89,9
_____________;;;;;;;;;;;;;;;;
1) Федеральное статистическое наблюдение осуществляется с 2003 г.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
