Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;;;;
14.8. ПОСЕВНЫЕ ПЛОЩАДИ ЛЬНА-ДОЛГУНЦА;;;;;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; тысяча гектаров)";;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;
Липецкая область ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
"Московская область 2);3)";0,1;0,3;0,3;0,1;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;;;
Орловская область;-;-;-;-;-;-;-;-;-;-;-;-;0,0;-;-;0,1;0,0;-;-;;;
Рязанская область;-;-;-;-;-;-;-;-;-;-;0,0;0,1;0,1;0,1;0,1;-;-;-;-;;;
Смоленская область;12,6;15,4;13,7;14,6;14,0;9,7;8,2;7,1;7,6;5,9;1,6;2,0;3,9;4,0;3,1;3,9;5,0;5,1;4,1;;;
Тамбовская область ;-;-;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Тверская область;17,5;22,1;24,4;25,6;22,6;18,4;13,3;11,3;11,6;8,7;6,1;6,3;6,0;6,1;6,5;7,4;6,8;4,4;4,7;;;
Тульская область;0,1;0,1;0,1;0,0;0,0;0,1;0,1;0,1;0,0;0,0;0,1;-;0,1;0,1;0,1;-;-;0,0;  …1);;;
Ярославская область;3,4;3,8;3,5;3,9;3,2;3,1;3,0;3,2;4,1;2,9;3,6;4,1;3,9;3,4;2,9;2,8;2,9;2,5;2,5;;;
г. Москва 3);…;…;…;…;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Северо-Западный     федеральный округ;26,4;22,3;14,2;16,2;15,7;12,4;12,2;9,1;8,8;11,5;10,1;10,2;7,6;6,1;6,4;7,2;7,3;6,9;6,2;;;
Республика Карелия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Коми;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Архангельская область;0,0;0,0;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;; 
в том числе: ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Архангельская область без автономного округа;0,0;0,0;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Вологодская область;10,1;10,2;4,2;6,0;7,1;10,1;10,0;7,2;7,1;10,1;9,1;9,2;6,2;4,9;5,6;5,8;5,8;5,3;4,7;;;
Калининградская область;-;-;-;-;-;-;-;-;-;-;-;-;0,2;…;…;…; …;0,1;-;;;
Ленинградская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Мурманская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Новгородская область;5,3;4,5;3,4;2,9;2,5;0,6;1,4;0,9;0,9;0,9;0,9;1,0;1,2;1,2;0,8;1,4;1,4;1,4;1,5;;;
Псковская область;11,1;7,6;6,6;7,3;6,2;1,7;0,8;1,0;0,8;0,5;0,0;0,0;0,1;…; …; …; …;0,0; …;;;
г. Санкт-Петербург;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Южный          федеральный округ;-;-;-;-;0,0;-;-;-;-;-;-;0,2;0,9;0,7;-;-;-;-;-;;;
Республика Адыгея;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Калмыкия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Крым;;;;;;;;;;;;;;;-;-;-;-;-;;;
Краснодарский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Астраханская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Волгоградская область;-;-;-;-;0,0;-;-;-;-;-;-;0,2;0,9;0,7;-;-;-;-;-;;;
Ростовская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
г. Севастополь;;;;;;;;;;;;;;;-;-;-;-;-;;;
Северо-Кавказский    федеральный округ;-;-;-;0,1;0,3;0,2;0,0;0,1;0,0;0,0;0,3;0,2;0,2;-;0,2;0,0;0,8;-;-;;;
Республика Дагестан;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;;;
Республика Ингушетия ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Кабардино-Балкарская Республика;-;-;-;0,1;0,3;-;0,0;0,1;0,0;0,0;0,3;0,2;0,2;-;0,1;0,0;0,8;-;-;;;
Карачаево-Черкесская Республика;-;-;-;-;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Северная Осетия – Алания;-;-;-;-;-;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Чеченская Республика ;…;…;…;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Ставропольский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Приволжский      федеральный округ;16,2;24,3;21,3;20,9;21,7;21,5;21,3;17,1;16,4;13,0;11,4;11,7;11,9;12,1;11,3;9,4;8,4;8,1;9,2;;;
Республика Башкортостан;0,0;-;0,0;-;-;-;0,0;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Марий Эл;1,5;3,2;2,4;1,4;1,6;2,1;2,2;1,2;0,8;0,2;0,5;0,2; …;…;0,5;…;0,0;-;  …1);;;
Республика Мордовия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Татарстан;1,1;1,4;0,7;1,1;1,1;0,9;1,1;0,9;0,9;0,9;0,2;0,9;0,9;0,5;1,0;1,1;1,1;1,1;1,1;;;
Удмуртская Республика;7,8;12,1;11,1;12,0;13,7;14,2;14,4;11,7;11,0;8,7;6,2;6,2;6,2;6,0;6,0;6,0;4,9;4,6;4,3;;;
Чувашская Республика;-;-;-;-;-;-;-;-;-;0,0;-;0,0;-;0,0;-;-;-;-;-;;;
Пермский край;0,3;0,3;0,3;0,1;0,1;0,1;0,1;0,1;0,1;0,1;-;-;-;-;-;-;-;-;-;;;
Кировская область;2,9;3,9;3,7;3,8;2,7;1,9;1,0;0,9;0,8;0,9;0,5;0,4;0,4;0,4;0,2;…;0,2;-; …;;;
Нижегородская область ;2,2;3,0;3,2;2,6;2,5;2,1;2,6;2,4;2,9;2,2;2,5;2,7;3,1;4,2;2,6;1,8;2,2;2,3;3,3;;;
Оренбургская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Пензенская область;0,5;0,4;-;-;-;-;0,1;-;-;0,2;1,5;1,4;…;…;0,9; …;-;-;-;;;
Самарская область;0,0;;-;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Саратовская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Ульяновская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Уральский      федеральный округ;0,2;0,7;0,3;0,2;0,6;0,4;0,3;0,3;0,4;0,6;0,9;1,2;0,8;0,6;1,5;4,4;3,2;7,9;3,8;;;
Курганская область;0,1;0,3;0,1;;0,1;0,2;0,2;0,3;0,4;0,6;0,9;1,1;0,8;0,6;1,5;4,4;3,2;7,9;3,8;;;
Свердловская область;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;-;-;;;
Тюменская область;0,1;0,4;0,2;0,2;0,5;0,3;0,1;-;-;-;-;-;-;-;-;-;-;-;-;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Ямало-Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Тюменская область без автономных округов;-;-;-;-;-;0,3;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Челябинская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Сибирский      федеральный округ;16,4;19,9;15,2;17,4;18,5;17,8;17,9;17,6;19,1;21,4;14,2;14,5;17,5;18;15,7;14,6;11,9;10,5;10,7;;;
Республика Алтай;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Тыва;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Хакасия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Алтайский край;5,9;5,6;5,0;6,2;7,1;7,5;7,2;7,6;8,6;8,6;4,7;4,6;4,5;3,5;3,6;3,8;3,9;3,6;4,2;;;
Красноярский край;0,1;-;0,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Иркутская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Кемеровская область;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0;0,2;0,1;0,1;-;-;;;
Новосибирская область ;9,1;12,7;9,2;10,4;9,7;8,4;8,1;8,0;7,0;8,8;5,0;5,8;7,4;8,0;5,0;3,1;0,3;-;0,4;;;
Омская область;0,7;1,1;0,4;0,3;0,5;0,5;1,0;1,2;2,5;2,9;3,1;2,6;4,1;4,9;5,5;6,3;6,2;5,8;5,0;;;
Томская область;0,6;0,5;0,6;0,5;1,3;1,5;1,7;0,8;1,0;1,2;1,4;1,4;1,4;1,4;1,4;1,4;1,4;1,0;1,1;;;
Дальневосточный федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Бурятия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Республика Саха (Якутия);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Забайкальский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Камчатский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Приморский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Хабаровский край ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Амурская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Магаданская область ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Сахалинская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Еврейская автономная область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;
_________;;;;;;;;;;;;;;;;;;;;;;
1) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций, в соответствии с Федеральным законом от 29.11.2007 г. № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п. 5 ст. 4, ч.1 ст. 9).;;;;;;;;;;;;;;;;;;;;;;
2) До 2012 г. - включая  г. Москва.;;;;;;;;;;;;;;;;;;;;;;
3) По городу федерального значения Москве и Московской области данные приводятся с учетом изменения их границы с 1 июля 2012 г. в соответствии с постановлением Совета Федерации Федерального Собрания Российской Федерации от 27 декабря 2011 г. № 560-СФ.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
