Социально-экономические показатели по субъектам Российской Федерации;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;
18.7. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ НАСЕЛЕНИЕМ1);;;;;;
18.7.1.  Население, использовавшее сеть Интернет2);;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общей численности населения соответствующего субъекта Российской Федерации)";;;;;;
;2014;2015;2016;2017;2018;
Чувашская Республика;70,6;68,4;70,2;69,0;74,3;
Пермский край;66,9;69,4;72,1;74,0;75,0;
Кировская область;63,5;70,0;72,0;73,3;75,1;
Нижегородская область;67,4;65,8;69,0;75,9;82,2;
Оренбургская область;67,1;67,3;74,0;77,5;85,5;
Пензенская область;69,3;67,6;72,1;75,7;80,0;
Самарская область;71,7;73,2;76,1;81,8;88,3;
Саратовская область;66,1;69,6;72,6;78,9;85,2;
Ульяновская область;64,7;63,7;69,5;67,2;76,3;
Уральский          федеральный округ;75,6;75,5;79,5;79,9;84,2;
Курганская область;67,9;69,4;70,8;73,2;76,9;
Свердловская область;77,8;73,9;79,5;77,9;82,8;
Тюменская область;81,3;80,8;83,1;86,3;91,3;
в том числе:;;;;;;
Ханты-Мансийский      автономный округ – Югра;87,7;87,8;87,3;88,5;95,3;
Ямало-Ненецкий    автономный округ;90,0;93,3;91,6;95,5;98,4;
Тюменская область без автономных округов;70,3;67,7;75,0;80,3;84,0;
Челябинская область;69,0;73,7;77,7;77,5;80,1;
Сибирский    федеральный округ;70,6;72,8;74,1;77,2;80,1;
Республика Алтай;59,2;72,6;64,2;77,2;82,1;
Республика Тыва;57,8;62,4;67,3;82,5;86,0;
Республика Хакасия;65,4;74,7;71,1;77,6;78,3;
Алтайский край;69,4;72,4;71,6;76,4;80,1;
Красноярский край;70,7;71,0;75,6;79,4;82,0;
Иркутская область;69,0;72,7;73,4;75,2;77,2;
Кемеровская область;72,3;72,3;76,3;76,2;78,7;
Новосибирская область;73,6;76,1;75,6;78,0;82,0;
Омская область;72,1;73,8;72,8;77,1;79,2;
Томская область;69,2;71,7;75,3;77,1;80,3;
Дальневосточный   федеральный округ;68,7;71,8;75,7;78,5;83,0;
Республика Бурятия;67,4;64,0;69,2;79,6;84,8;
Республика Саха (Якутия);71,2;74,9;80,0;83,6;90,0;
Забайкальский край;62,0;66,0;70,6;71,9;75,3;
Камчатский край;66,8;75,8;80,8;78,9;86,5;
Приморский край;72,0;72,3;78,4;79,5;82,1;
Хабаровский край;72,3;77,1;81,5;78,3;85,9;
Амурская область;58,3;69,4;71,4;79,8;79,2;
Магаданская область;75,9;86,2;82,1;84,3;86,0;
Сахалинская область;73,9;73,0;69,2;73,9;83,9;
Еврейская автономная    область;64,1;71,5;64,9;74,7;72,0;
Чукотский автономный  округ ;77,1;78,3;84,7;84,2;92,3;
?????;;;;;;
"1)  Выборочное обследование осуществляется с 2013 г.;  данные публикуются с 2014 г.";;;;;;
"2) В возрасте 15-74 лет; до 2017 г. - в возрасте 15-72 лет. За последние 12 месяцев.";;;;;;
