СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2016 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;;;;;;;;;;;;;;;
Расходование средств Федерального фонда обязательного медицинского страхования5), млрд.руб. (до 1998 г. - трлн. руб.);;;0,0;0,3;0,5;0,8;1,1;1,3;2,0;2,9;4,0;5,1;5,8;6,8;71,5;119,4;158,2;168,7;130,0;109,1;310,4;932,2;1048,7;1268,7;1638,8;1590,2;;;;;;;;;;;;;;;;;
Международные резервы Российской Федерации2), включая золото, на конец года, млрд. долл. США;2,8;4,5;8,9;6,5;17,2;15,3;17,8;12,2;12,5;28,0;36,6;47,8;76,9;124,5;182,2;303,7;478,8;426,3;439,5;479,4;498,6;537,6;509,6;385,5;368,4;377,7;;;;;;;;;;;;;;;;;
1) По данным Федерального казначейства. По консолидированному бюджету с 2005 г. данные приведены с учетом бюджетов государственных внебюджетных фондов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 2) По данным Банка России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) По данным Федеральной налоговой службы, по состоянию на 1 января 2017 г. - 1031,7 млрд.руб. Данные за 2014 г. без учета сведений по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) Статистическое наблюдение ведётся с 1992 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5) Статистическое наблюдение ведётся с 1993 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Денежно-кредитная система1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Денежная масса М2, млрд.руб., на конец года (до 1998 г. - трлн.руб.);0,9;6,5;33,2;97,8;220,8;288,3;374,1;453,7;714,6;1150,6;1609,4;2130,5;3205,2;4353,9;6032,1;8970,7;12869,0;12975,9;15267,6;20011,9;24204,8;27164,6;31155,6;31615,7;35179,7;38418,0;;;;;;;;;;;;;;;;;
Наличные деньги в обращении М0, млрд.руб., на конец года, (до 1998 г. - трлн.руб.) ;0,2;1,7;13,3;36,5;80,8;103,8;130,3;187,7;266,1;418,9;583,8;763,2;1147,0;1534,8;2009,2;2785,2;3702,2;3794,8;4038,1;5062,7;5938,6;6430,1;6985,6;7171,5;7239,1;7714,8;;;;;;;;;;;;;;;;;
Безналичные средства, млрд.руб., на конец года, (до 1998 г. -  трлн. руб.);0,8;4,8;19,9;61,3;140,0;184,5;243,7;266,0;448,4;731,7;1025,6;1367,3;2058,2;2819,1;4022,9;6185,6;9166,7;9181,1;11229,5;14949,1;18266,2;20734,6;24170,0;24444,3;27940,6;30703,2;;;;;;;;;;;;;;;;;
Переводные депозиты, млрд.руб., на конец года;;;;;;;;;;;;;;;;;;;;5797,1;6818,3;7264,0;8526,3;8170,0;9276,4;9927,6;;;;;;;;;;;;;;;;;
Другие депозиты, млрд.руб., на конец года;;;;;;;;;;;;;;;;;;;;9152,0;11447,9;13470,6;15643,7;16274,3;18664,1;20775,6;;;;;;;;;;;;;;;;;
Кредиты, депозиты и прочие размещенные средства, предоставленные организациям, физическим лицам и кредитным организациям всего, млн.руб. на конец года;;;;;;;;469425;687541;1061293;1537608;2112229;2987113;4373098;6211992;9218221;13923789;19362452;19179636;21537339;27911610;32886943;38767926;49069454;54263040;52815991;;;;;;;;;;;;;;;;;
Кредиты и прочие размещенные средства, предоставленные организациям в рублях, млн.руб, на конец года;;;;;;;;103829;252590;522014;844987;1091088;1621552;2422356;3110082;4601204;7101808;9165304;9386042;10773870;13878544;16435183;18191891;20849792;21253717;22036746;;;;;;;;;;;;;;;;;
Кредиты, предоставленные физическим лицам в рублях, млн.руб, на конец года;;;;;;;;9386;13155;26542;61289;88079;197772;448164;883084;1578632;2566736;3537211;3169902;3725244;5227319;7492697;9719936;11028783;10395828;10643612;;;;;;;;;;;;;;;;;
Кредиты и прочие размещенные средства, предоставленные организациям в иностранной валюте, млн.руб, на конец года;;;;;;;;245680;236971;299561;419211;617009;852738;984429;1374294;1696863;2430753;3678215;3493157;3755988;4522372;4482182;5486152;9992617;13706311;10875242;;;;;;;;;;;;;;;;;
Кредиты, предоставленные физическим лицам в иностранной валюте, млн.руб, на конец года;;;;;;;;9163;11371;9540;15206;24461;50891;89997;172738;304072;404389;480001;403850;359577;323565;244373;237158;300766;288503;160330;;;;;;;;;;;;;;;;;
Число кредитных организаций, зарегистрированных на  территории Российской  Федерации, на конец года;;1713;2019;2517;2598;2601;2552;2481;2376;2124;2001;1826;1666;1516;1409;1345;1296;1228;1178;1146;1112;1094;1071;1049;1021;975;;;;;;;;;;;;;;;;;
Число кредитных организаций с иностранным участием в уставном капитале, имеющих право на осуществление банковских операций, на конец года;;;;;165;152;145;142;133;130;126;126;128;131;136;153;202;221;226;220;230;244;251;225;199;174;;;;;;;;;;;;;;;;;
Число филиалов действующих кредитных организаций на территории Российской Федерации, на конец года;;3135;4539;5486;44148;39549;6353;4453;3923;3793;3433;3326;3219;3238;3295;3281;3455;3470;3183;2926;2807;2349;2005;1708;1398;1098;;;;;;;;;;;;;;;;;
Зарегистрированный уставный капитал действующих кредитных организаций, млрд. руб., на конец года;;;1,1;4,4;11,2;18,7;33,2;52,5;111,1;207,4;261,0;300,4;362,0;380,5;444,4;566,5;731,7;881,4;1244,4;1186,2;1214,3;1341,4;1463,9;1840,3;2329,4;2383,2;;;;;;;;;;;;;;;;;
Депозиты, кредиты и прочие привлеченные  средства организаций, физических лиц и кредитных организаций в рублях и иностранной валюте,  на конец года, млн.руб.;;;;;;;;465112;611509;883363;1202659;1745964;2575604;3501909;5152273;7738429;11569023;14573377;16159446;19729799;24944937;28781726;32794614;42334858;49544744;49412194;;;;;;;;;;;;;;;;;
Депозиты и прочие привлеченные средства организаций в рублях и иностранной валюте, на конец года, млн.руб.;;;;;;;;68204;138243;251319;308993;383047;509093;757931;1271137;2146735;3520009;4945434;5466580;6035603;8367397;9619503;10838319;17007890;19018218;16385170;;;;;;;;;;;;;;;;;
Средства физических лиц-индивидуальных предпринимателей в рублях и иностранной валюте, на конец года, млн. руб.;;;;;;;;1499;3308;7502;12109;16672;21720;26015;33494;51431;82407;81369;90593;121216;146023;172815;192737;180060;216402;267584;;;;;;;;;;;;;;;;;
Вклады (депозиты) физических лиц в рублях и иностранной валюте,  на конец года, млн.руб.;;;;;;;;200145;297240;445823;678489;1030807;1519454;1980816;2761194;3809714;5159200;5906990;7484970;9818048;11871363;14251046;16957531;18552682;23219077;24200322;;;;;;;;;;;;;;;;;
Официальные курсы иностранных валют по отношению к российскому рублю, на конец года:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Доллар США (до 1998 г. - тыс.руб.);55,71;0,41;1,25;3,55;4,64;5,56;5,96;20,65;27,00;28,16;30,14;31,78;29,45;27,75;28,78;26,33;24,55;29,38;30,24;30,48;32,20;30,37;32,73;56,26;72,88;60,66;;;;;;;;;;;;;;;;;
Евро;;;;;;;;;27,23;26,14;26,49;33,11;36,82;37,81;34,19;34,70;35,93;41,44;43,39;40,33;41,67;40,23;44,97;68,34;79,70;63,81;;;;;;;;;;;;;;;;;
Вклады (депозиты) физических лиц в Сбербанке России, на конец года, млн.руб (до 1998 г. - млрд.руб.);372,3;658,3;3966,8;17556,9;51144,6;96413,5;127023,2;153308,5;232816,1;347105,9;501370,4;698934,7;957932,7;1185059,0;1500114,5;2020276,6;2660899,3;3063602,4;3701093,6;4702079,5;5532248,3;6510314,8;7915893,9;8347329,8;10673461,2;11372237,0;;;;;;;;;;;;;;;;;
Средний размер вклада на рублевых счетах в Сбербанке России, на конец года, руб. (до 1998 г. - без учёта изменения нарицательной стоимости);2640;3233;18811;74981;226297;428290;512203;559;800;1142;1566;2121;3029;3728;4628;6373;8220;8469;9895;12415;13691;14557;16383;14855;16313;18081;;;;;;;;;;;;;;;;;
Средний размер вклада на валютных счетах в Сбербанке России, на конец года, руб.;;;;;;;;;;45794;56910;68008;67922;70397;78190;73832;75533;125942;138148;136510;161113;171091;196129;308163;422428;366922;;;;;;;;;;;;;;;;;
1)  По данным Банка России и Сбербанка России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рынок ценных бумаг1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Объем эмиссии, млрд.руб. (до 1998 г.- трлн. руб.);;;0,2;20,5;171,0;479,0;605,5;335,9;11,52);19,52);89,0;152,0;185,0;172,3;160,02);186,0;262,0;277,0;381,02);760,0;940,0;750,02);491,02);15,02);160,02);20,02);;;;;;;;;;;;;;;;;
Объем размещения и доразмещения по номиналу, млрд.руб. (до 1998 г.- трлн. руб.);;;0,2;17,5;159,5;430,5;502,0;258,6;172,8;20,5;60,4;142,6;134,8;169,2;169,1;186,0;245,2;185,3;419,2;715,6;756,1;794,6;764,8;159,9;668,1;121,3;;;;;;;;;;;;;;;;;
Объем выручки, полученной в результате размещения и доразмещения ГКО-ОФЗ, млрд.руб. (до 1998 г.- трлн. руб.);;;0,2;12,9;122,3;322,9;436,2;193,7;12,6;20,3;56,4;133,9;136,0;184,5;171,6;192,2;253,3;183,3;426,9;728,5;760,8;811,0;770,2;147,9;708,7;1089,6;;;;;;;;;;;;;;;;;
Объем погашений/купонных выплат, млрд.руб. (до 1998 г.- трлн. руб.);;;0,0;7,1;95,5;287,7;402,1;244,1;80,4;93,3;111,6;108,0;138,3;108,6;118,1;113,7;138,5;161,5;174,4;244,3;471,1;618,7;634,9;560,0;810,1;890,4;;;;;;;;;;;;;;;;;
Перечислено средств в бюджет, млрд.руб.3) (до 1998 г.- трлн. руб.);;;0,2;5,7;26,8;35,2;32,7;-50,4;-67,8;-73,0;-55,2;25,9;-2,4;75,9;53,5;78,5;114,8;21,9;252,5;484,2;289,7;192,4;135,3;-412,0;-101,3;199,2;;;;;;;;;;;;;;;;;
Объем государственного внутреннего долга по государственным краткосрочным облигациям (ГКО) и облигациям  федерального займа (ОФЗ), млрд.руб. (до 1998 г.- трлн.руб.);;;0,2;10,6;76,6;237,1;384,9;385,8;270,4;185,1;160,2;217,0;314,7;557,6;721,6;875,6;1047,4;1144,0;1469,7;2054,2;2803,3;3196,7;3634,8;4593,2;4990,5;5611,4;;;;;;;;;;;;;;;;;
1) Без учёта нерыночных выпусков. По данным Банка России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Объём эмиссии меньше объёма размещения и доразмещения вследствие новации ценных бумаг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) Знак (-) означает изъятие средств из бюджета на погашение выпусков ценных бумаг и выплату купонных доходов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Деятельность страховщиков1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число учтенных страховщиков2) ;;;1534;2175;2217;2043;1893;1493;1318;1166;1196;1205;1187;1063;983;921;849;777;693;600;514;436;409;395;360;297;;;;;;;;;;;;;;;;;
Число филиалов страховщиков2);;;4554;6935;6393;6750;5062;4753;4820;4507;4628;5249;4955;4944;5038;5171;5341;5443;5213;4567;4332;5081;5180;4803;4863;3973;;;;;;;;;;;;;;;;;
Уставный капитал страховых организаций2), млн.руб. (до 1998 г .- млрд.руб.);;;87,7;494,9;1642,1;2427,0;4919,7;7434,8;10809,0;16041,6;36614,0;52947,1;76336,4;130350,3;142042,1;149411,2;156556,0;158722,0;150687,1;155175,2;177860,3;198644,1;224105,9;217041,8;204294,1;228343,1;;;;;;;;;;;;;;;;;
Среднесписочная численность работников страховщика, человек;;;131271;94700;84695;70252;64566;56420;55473;50452;47232;46131;52783;52618;67218;40766;37056;20346;28736;29355;35099;129460;131330;125422;160818;115122;;;;;;;;;;;;;;;;;
Средняя численность страховых агентов - физических лиц в страховых организациях, человек;;;65711;97627;104735;71791;60198;47841;47542;52156;51131;54424;85545;117878;137151;199149;190843;194162;196469;177306;163687;272362;180996;168705;223164;151459;;;;;;;;;;;;;;;;;
Число заключенных договоров страхования3), млн.;;;144,2;152,6;113,3;86,0;80,8;75,6;83,1;90,9;90,6;99,7;106,4;108,0;138,1;133,4;147,2;157,8;120,0;128,1;133,2;140,7;139,1;157,9;144,7;171,8;;;;;;;;;;;;;;;;;
Страховые премии (взносы)3), млн.руб. (до 1998 г.-млрд.руб.);;;1257,5;7955,5;23641,1;29056,8;36570,4;43651,9;96695,5;170074,1;291174,3;329877,8;446791,0;470525,7;506151,1;614001,9;775083,0;954754,2;979099,3;1036677,0;1269762,8;811105,2;901077,9;983400,6;1033532,0;1190596,9;;;;;;;;;;;;;;;;;
Выплаты по договорам страхования3), млн.руб. (до 1998 г. - млрд. руб.);;;633,7;5136,1;17193,7;23385,4;26911,6;33596,6;64589,7;138566,0;201002,7;232530,4;292346,4;293562,8;308484,4;356934,3;486597,2;633233,6;739908,1;774830,6;902205,7;376601,8;419850,7;473469,1;513954,8;514070,3;;;;;;;;;;;;;;;;;
Сальдированный финансовый результат (прибыль минус убыток) страховых организаций, млн.руб. (до 1998 г.-млрд.руб.);;;;;;;778,8;665,5;1103,9;2089,3;2795,8;11373,2;15458,4;10203,8;28800,4;30550,8;26330,2;11748,0;-1074,7;38121,1;42233,9;68724,4;45134,8;62718,0;129474,5;115211,6;;;;;;;;;;;;;;;;;
Дебиторская задолженность страховых организаций2), млн.руб.;;;;;;;;;;;;40067,3;51595,8;73088,3;107985,1;118432,9;144571,8;183219,2;184033,7;201893,8;178254,4;215507,7;255638,7;366855,3;357665,3;345994,7;;;;;;;;;;;;;;;;;
Кредиторская задолженность страховых организаций 2), млн. руб.;;;;;;;;;;;;45108,9;53641,9;64434,3;71530,9;75533,7;103392,1;112607,9;105692,1;101453,3;96929,8;107744,8;137394,7;164261,1;173841,3;151018,6;;;;;;;;;;;;;;;;;
1)  С 2012 г. – с учетом обществ взаимного страхования. Данные за 2014 г. без учета сведений по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2)  На конец периода.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) С 2012 г. - без учета обязательного медицинского страхования.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Финансовые результаты и платежеспособность1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций, млн.руб;;;;;;124989;173998;-115111;723158;1190597;1141253;923320;1456171;2485439;3225916;5721598;6040922;3801161;4431609;6330589;7139536;7824538;6853753;4346793;7502736;12801581;;;;;;;;;;;;;;;;;
Удельный вес убыточных организаций, процентов;;;;;;50,6;50,1;53,2;40,8;39,8;37,9;43,5;43,0;38,1;36,4;32,5;25,5;28,3;32,0;29,9;30,0;29,1;31,0;33,0;32,6;29,5;;;;;;;;;;;;;;;;;
Сумма убытка, млн. руб ;;;;;;113504;135010;472690;161710;170231;216553;350095;359580;293113;447695;363027;370693;1553201;1420117;1022225;1654030;1388698;2664992;6118282;5151153;3021836;;;;;;;;;;;;;;;;;
Рентабельность проданных товаров, продукции (работ, услуг), процентов;;;;;;4,8;6,3;8,1;18,5;18,9;14,4;10,9;10,2;13,2;13,5;13,2;13,1;13,0;10,8;10,0;9,6;8,6;7,0;7,3;8,1;7,6;;;;;;;;;;;;;;;;;
Рентабельность активов, процентов;;;;;;1,3;1,7;-0,9;5,0;7,6;6,1;4,3;5,9;8,5;8,8;12,2;10,4;5,4;5,5;6,7;6,5;6,1;4,5;2,5;3,7;5,9;;;;;;;;;;;;;;;;;
Оборотные активы, млн. руб.;;;;;;1753736;2441856;3402556;4374225;5841343;6830179;8048645;9709306;12048850;14315616;17714632;23281981;30448706;32905967;39383807;45804616;52762125;63954620;75009024;85129224;87430506;;;;;;;;;;;;;;;;;
Коэффициент текущей ликвидности, процентов;;;;;;98,8;95,5;91,2;99,5;102,5;106,1;109,7;116,2;113,1;122,2;123,7;130,7;129,2;129,4;134,3;136,2;128,1;125,3;121,1;126,6;124,7;;;;;;;;;;;;;;;;;
Коэффициент обеспеченности собственными оборотными средствами, процентов;;;;;;-1,0;-5,6;-17,0;-11,9;-7,4;-7,0;-6,6;-8,2;-10,6;-12,5;-13,3;-10,5;-14,1;-18,8;-14,1;-17,8;-25,5;-30,7;-41,2;-42,6;-42,2;;;;;;;;;;;;;;;;;
Коэффициент автономии, процентов;;;;;;80,7;73,9;65,5;62,2;59,9;60,9;60,1;57,7;54,4;56,2;57,1;55,9;50,5;51,6;52,4;50,8;48,2;45,3;40,1;39,9;42,5;;;;;;;;;;;;;;;;;
1) По данным бухгалтерской отчетности.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Состояние взаиморасчетов в организациях по видам экономической деятельности (на конец отчетного периода)1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Суммарная задолженность по обязательствам, млн. руб.;;;;;;;1452970;2811479;3609435;4479935;6059063;7307603;8795918;10420880;12178969;14968091;21406196;28179482;32561461;37200350;44018275;49561426;58340476;75182475;89014617;91942288;;;;;;;;;;;;;;;;;
Просроченная суммарная задолженность по обязательствам, млн. руб.;;;;;;;782182;1309205;1445294;1675153;1667645;1558850;1401325;1200598;1032064;889263;905432;1073703;1102076;1171644;1381947;1343200;1660601;2137882;2824692;3069214;;;;;;;;;;;;;;;;;
Кредиторская задолженность, млн. руб.;;;;;482842;941159;1288301;2297445;2900825;3514951;4230689;4832303;5283176;5943838;6389304;7696757;10652807;13353288;14881506;17683401;20954272;23631710;27331558;33173617;38925596;42280108;;;;;;;;;;;;;;;;;
Просроченная кредиторская задолженность, млн. руб.;;;;;238930;514421;756135;1230613;1354500;1571469;1560121;1432819;1306071;1122193;956356;821296;832507;994457;957883;1005998;1208299;1188416;1469645;1881316;2428757;2656177;;;;;;;;;;;;;;;;;
Задолженность по кредитам банков и займам, млн. руб.;;;;;91445;123824;164669;514034;708610;964984;1828374;2475300;3512742;4477042;5789665;7271334;10753389;14826194;17679955;19516949;23064003;25929716;30808918;42008858;50089021;49662180;;;;;;;;;;;;;;;;;
Просроченная задолженность по кредитам банков и займам, млн. руб.;;;;;10679;23499;26047;78592;90794;103684;107524;126031;95254;78405;75708;67967;72925;79246;144193;165646;173648;154784;190956;256566;395935;413037;;;;;;;;;;;;;;;;;
Задолженность поставщикам, млн. руб.;;;;;265892;487088;622982;1180024;1522836;1802660;2112972;2407155;2604361;2908135;3193914;3948589;5499637;7131124;7432160;8791247;10667130;12510870;14947143;16744745;18044549;19856787;;;;;;;;;;;;;;;;;
Просроченная задолженность поставщикам, млн. руб.;;;;;122300;245937;344687;585993;619452;712478;753995;710338;651965;569422;516114;474594;553903;715772;680920;721326;884407;911116;1156943;1451141;1621414;1968835;;;;;;;;;;;;;;;;;
Дебиторская задолженность, млн. руб.;;;;;361996;662591;846121;1541966;19996902;2450755;32110305;3663343;4138639;5174449;6331251;7871212;11061130;13783072;15441535;18003884;21796875;22866854;26263685;31013596;35736421;37053181;;;;;;;;;;;;;;;;;
Просроченная дебиторская задолженность, млн. руб.;;;;;165496;335514;458401;761932;8145655;916257;10073409;910866;876518;839003;855998;1039936;887190;1051325;1011328;1048158;1167488;1224705;1482765;2015920;2275556;2240921;;;;;;;;;;;;;;;;;
Задолженность покупателей, млн. руб.;;;;;289309;553196;676389;1198190;14625658;1721421;20450980;2262677;2539966;3010452;3484419;4323594;5807492;6966327;7505297;8589348;10120822;11824095;13420391;16073828;17259250;18388364;;;;;;;;;;;;;;;;;
Просроченная задолженность покупателей, млн. руб.;;;;;146896;296258;397138;646438;668558;735327;8371539;714855;623800;607396;572195;587641;626652;796694;755556;805411;924619;945664;1199226;1635017;1730768;1544240;;;;;;;;;;;;;;;;;
Превышение просроченной кредиторской задолженности над просроченной  дебиторской, млн. руб.;;;;;73434;178907;297734;468681;5399341;655212;5527798;521953;429553;283190;100358;-218640;-54683;-56868;-53445;-42160;40811;-36289;-13120;-134604;153201;415256;;;;;;;;;;;;;;;;;
Число организаций, имевших просроченную задолженность покупателей, единиц;;;;;;;;;;;;791;567;44059;37670;32010;27360;20454;18819;16978;15310;14111;13776;13615;13235;12972;;;;;;;;;;;;;;;;;
Число организаций, имевших просроченную задолженность поставщикам, единиц;;;;;;;;;;;;804;599;40766;33673;27717;22764;16326;14428;12676;11175;10011;9434;8722;8061;7412;;;;;;;;;;;;;;;;;
Просроченная задолженность по заработной плате работникам организаций - всего, млн. руб.;;;;;;;;77017;43741;31690;29943;30575;24430;12206;5756;4159;2668;4674;3565;2400;1766;1560;1949;2006;3572;2725;;;;;;;;;;;;;;;;;
из нее из-за несвоевременного получения денежных средств из бюджетов всех уровней;;;;;;;;19732;10165;4942;3633;3444;2260;1005;198;248;192;261;196;21;8;2,5;2,5;2,5;74;5;;;;;;;;;;;;;;;;;
Задолженность организаций стран СНГ организациям России (покупателей) ), млн. руб.;;;;;;;;6704;7075;8925;71319;77787;84985;51694;32815;38509;68190;117675;180599;198016;256470;257764;376226;326720;195454;186514;;;;;;;;;;;;;;;;;
Просроченная задолженность организаций стран СНГ организациям России (покупателей), млн. руб.;;;;;;;;3921;3262;3103;61370;65371;35459;25835;6888;5212;20961;32389;52301;62960;88112;95893;137067;120593;11006;10213;;;;;;;;;;;;;;;;;
Задолженность организаций России организациям стран СНГ (поставщикам), млн. руб.;;;;;;;;3411;3101;5700;6029;4042;8879;6494;9058;23767;20407;31937;24098;30104;29514;69973;64982;89353;95249;102779;;;;;;;;;;;;;;;;;
Просроченная задолженность организаций России организациям стран СНГ (поставщикам), млн. руб.;;;;;;;;1428;1329;1603;1670;535;1083;745;540;221;307;540;2584;5512;661;401;653;3717;2994;2611;;;;;;;;;;;;;;;;;
1) Данные за 2014 г. без учета сведений по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
